model,conditioning_arm,scale_group,syn_mean,human_mean,ACI,t_stat,p_val,n_arm
gpt4,demo_plus_traits,scale_agree,2.9768,3.842,-0.8651,-86.1818,0.0,520
gpt4,demo_plus_traits,scale_useful,3.0662,3.8561,-0.79,-45.4806,0.0,520
gpt4,demo_plus_traits,scale_likely,3.3122,3.8237,-0.5115,-24.7721,0.0,520
gpt4,demo_only,scale_agree,2.8462,3.842,-0.9958,-129.6031,0.0,520
gpt4,demo_only,scale_useful,3.5804,3.8561,-0.2757,-21.311,0.0,520
gpt4,demo_only,scale_likely,3.2949,3.8237,-0.5288,-36.0838,0.0,520
claude,demo_plus_traits,scale_agree,2.8318,3.842,-1.0102,-105.6195,0.0,520
claude,demo_plus_traits,scale_useful,2.9846,3.8561,-0.8715,-48.1318,0.0,520
claude,demo_plus_traits,scale_likely,2.8571,3.8237,-0.9666,-45.8899,0.0,520
claude,demo_only,scale_agree,2.8759,3.842,-0.966,-115.9786,0.0,520
claude,demo_only,scale_useful,3.2462,3.8561,-0.61,-32.3761,0.0,520
claude,demo_only,scale_likely,2.9154,3.8237,-0.9083,-47.9463,0.0,520
