q_id,model,js_human_syn
q4_1,gpt4,0.37650889627532613
q4_2,gpt4,0.4058158791587086
q4_3,gpt4,0.28117741658859247
q4_4,gpt4,0.5477293480057974
q4_5,gpt4,0.38473658661010146
q4_6,gpt4,0.5962171217597118
q4_7,gpt4,0.3827101288690195
q5_1,gpt4,0.29006720009513326
q5_2,gpt4,0.26668379943772974
q5_3,gpt4,0.4445609450977981
q5_4,gpt4,0.4213244479918411
q5_5,gpt4,0.2752734116458323
q5_6,gpt4,0.45427912431884526
q5_7,gpt4,0.44204662124285393
q5_8,gpt4,0.2809814421708781
q7_1,gpt4,0.23866092237512537
q7_2,gpt4,0.3299736081926987
q7_3,gpt4,0.2494398750493128
q7_4,gpt4,0.38906883479713905
q7_5,gpt4,0.39814279971211103
q7_6,gpt4,0.48506720260799147
q9_1,gpt4,0.2930380285099962
q9_2,gpt4,0.3556832699456948
q9_3,gpt4,0.46939687745896735
q10_1,gpt4,0.31779559544042796
q10_2,gpt4,0.48412096508230196
q10_3,gpt4,0.5142750583407865
q10_4,gpt4,0.36852865551293257
q4_1,claude,0.37467806087676614
q4_2,claude,0.41014836713613523
q4_3,claude,0.27246721409549
q4_4,claude,0.580072006851807
q4_5,claude,0.5516820297687551
q4_6,claude,0.6387951376539606
q4_7,claude,0.4366197955060801
q5_1,claude,0.22222458094810962
q5_2,claude,0.19624115732546174
q5_3,claude,0.46954849517233666
q5_4,claude,0.4537981499790576
q5_5,claude,0.2773916568897263
q5_6,claude,0.46383343894702667
q5_7,claude,0.5733511461190747
q5_8,claude,0.34358467040265867
q7_1,claude,0.2687316769006426
q7_2,claude,0.38677636282979666
q7_3,claude,0.19429917973355917
q7_4,claude,0.4591108734510281
q7_5,claude,0.45995107744894426
q7_6,claude,0.4831614268939192
q9_1,claude,0.3075414266269211
q9_2,claude,0.5233796933328848
q9_3,claude,0.5882266145273207
q10_1,claude,0.32038250666646695
q10_2,claude,0.5035309134988559
q10_3,claude,0.5810228209377719
q10_4,claude,0.39413135426775514
