synthetic_id,source_human_id,conditioning_arm,age,sex,country,city,chatgpt_usage,travel_freq,RecordedDate,ResponseId,tau_PU,tau_PU_level,tau_PU_verbal,tau_PEOU,tau_PEOU_level,tau_PEOU_verbal,tau_BI,tau_BI_level,tau_BI_verbal,tau_ATT,tau_ATT_level,tau_ATT_verbal,tau_AI_CAP,tau_AI_CAP_level,tau_AI_CAP_verbal
S2_0001,H_0001,demo_plus_traits,22-26,Male,Philippines,Laie,occasionally used,occasional traveler,2023-05-12 02:45:40,R_1Cw0ig8VRCkOkWU,-1.3262444089597,LOW,You are skeptical that AI tools genuinely improve task performance.,-0.4929041990592883,MODERATE,You find most apps usable but sometimes need time to learn.,0.1112910184103295,MODERATE,You sometimes try new technology when it seems relevant.,-0.1474790756775293,MODERATE,You have a neutral-to-positive attitude toward AI activities.,0.1719682184543334,MODERATE,You think current AI has reasonable but limited capability.
S2_0002,H_0002,demo_plus_traits,18-21,Female,United States,Arizona,occasionally used,occasional traveler,2023-05-23 01:05:07,R_2xQcMB2f4oYJ9nW,0.4653819993024935,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-0.6297925517616224,LOW,You find new technology interfaces difficult and frustrating.,0.6370145766405504,HIGH,You actively seek out and adopt useful new technology tools.,0.9257001514937956,HIGH,You feel enthusiastic and positive about AI-assisted activities.,-0.872522168388959,LOW,You doubt that current AI handles complex real-world tasks well.
S2_0003,H_0003,demo_plus_traits,18-21,Female,United States,Oregon,never used,occasional traveler,2023-05-12 16:58:32,R_3qjnhilLK2uAibA,1.5101653238060315,HIGH,You strongly believe AI tools improve efficiency and outcomes.,-0.1346734407638144,MODERATE,You find most apps usable but sometimes need time to learn.,0.6278355449972447,HIGH,You actively seek out and adopt useful new technology tools.,-0.9000036999785185,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,0.5540466172736607,HIGH,You believe current AI is capable of complex information tasks.
S2_0004,H_0004,demo_plus_traits,22-26,Female,French Polynesia,French Polynesia,regularly used,occasional traveler,2023-05-10 15:46:02,R_25z0ZDzvfWjqMwG,0.9757829709095196,HIGH,You strongly believe AI tools improve efficiency and outcomes.,0.1063360583072097,MODERATE,You find most apps usable but sometimes need time to learn.,0.5599753847192773,HIGH,You actively seek out and adopt useful new technology tools.,-0.6152542496699747,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,1.1359247788308915,HIGH,You believe current AI is capable of complex information tasks.
S2_0005,H_0005,demo_plus_traits,22-26,Female,Kiribati,Kiribati,regularly used,occasional traveler,2023-05-23 02:48:52,R_3P6syR22Kcey7Xu,-0.3323712753063026,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-1.2598642158627589,LOW,You find new technology interfaces difficult and frustrating.,-1.2043861179602402,LOW,You rarely choose to adopt new digital tools in daily life.,-1.7143724869962802,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,-0.8641941835187504,LOW,You doubt that current AI handles complex real-world tasks well.
S2_0006,H_0006,demo_plus_traits,18-21,Male,United States,Utah,never used,rarely travels,2023-05-10 17:35:49,R_3kfoX0ahjS31Ykh,0.2348537327911143,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-0.3473347037432826,MODERATE,You find most apps usable but sometimes need time to learn.,-0.4215011383200716,MODERATE,You sometimes try new technology when it seems relevant.,-0.553553524516597,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,0.8129900231729356,HIGH,You believe current AI is capable of complex information tasks.
S2_0007,H_0007,demo_plus_traits,22-26,Female,Indonesia,Jakarta,occasionally used,occasional traveler,2023-05-16 02:54:50,R_2zACCfHwrdeaUSj,1.1395738924557086,HIGH,You strongly believe AI tools improve efficiency and outcomes.,0.0332958144763418,MODERATE,You find most apps usable but sometimes need time to learn.,0.6032284751558982,HIGH,You actively seek out and adopt useful new technology tools.,1.164934016761097,HIGH,You feel enthusiastic and positive about AI-assisted activities.,-1.1479708080424829,LOW,You doubt that current AI handles complex real-world tasks well.
S2_0008,H_0008,demo_plus_traits,22-26,Male,Philippines,Bacolod,regularly used,occasional traveler,2023-05-19 12:04:00,R_3g5RB9tSvzlpVij,1.84001312751885,HIGH,You strongly believe AI tools improve efficiency and outcomes.,1.9453178835288307,HIGH,You pick up new technology quickly and find it intuitive.,0.2074006437711711,MODERATE,You sometimes try new technology when it seems relevant.,0.4874267080673205,MODERATE,You have a neutral-to-positive attitude toward AI activities.,-0.116173606481291,MODERATE,You think current AI has reasonable but limited capability.
S2_0009,H_0009,demo_plus_traits,22-26,Female,United States,Laie,occasionally used,frequent traveler,2023-05-21 21:05:24,R_1Q3qjH6UReWDwRD,-0.3905449613668415,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-0.4437406992423678,MODERATE,You find most apps usable but sometimes need time to learn.,0.0741531568296106,MODERATE,You sometimes try new technology when it seems relevant.,-1.350193472885451,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,-0.5661273872304237,LOW,You doubt that current AI handles complex real-world tasks well.
S2_0010,H_0010,demo_plus_traits,22-26,Female,Tonga,Liahona,regularly used,rarely travels,2023-05-19 01:37:04,R_1PRWDKnT3BsKVlf,0.3481019835636026,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-0.1244737633615725,MODERATE,You find most apps usable but sometimes need time to learn.,1.453026993743159,HIGH,You actively seek out and adopt useful new technology tools.,-0.1607585098132125,MODERATE,You have a neutral-to-positive attitude toward AI activities.,1.2114558499697734,HIGH,You believe current AI is capable of complex information tasks.
