synthetic_id,age,sex,country,city
S_0001,18-21,Female,America,California
S_0002,18-21,Female,United States,Texas
S_0003,22-26,Female,United States,Colorado
S_0004,22-26,Male,Philippines,Davao
S_0005,22-26,Male,Usa,Spokane
S_0006,22-26,Male,Canada,Alberta
S_0007,22-26,Female,Thailand,Bangkok
S_0008,22-26,Female,Philippines,Nueva Ecija
S_0009,22-26,Male,Ghana,Accra
S_0010,22-26,Female,US,HI
S_0011,22-26,Female,Philippines,Laie
S_0012,22-26,Female,Kiribati,Butaritari
S_0013,22-26,Female,Philippines,Laie
S_0014,43-49,Male,United States of America,"Draper, Utah"
S_0015,32-36,Male,Fiji,Nadi
S_0016,32-36,Male,Tonga,Fo'ui
S_0017,27-31,Female,Tahiti,Papeete
S_0018,27-31,Female,USA,Hawaii
S_0019,18-21,Female,Philippines,Davao City
S_0020,18-21,Male,Indonesia,Bogor
S_0021,37-42,Female,United States,Texas
S_0022,18-21,Female,USA,Minnesota
S_0023,18-21,Male,United States,"Billings, Montana"
S_0024,18-21,Female,United States of America,Minnesota
S_0025,22-26,Female,United States of America,Georgia
S_0026,22-26,Male,Philippines,Butuan
S_0027,22-26,Female,United States,"Providence, UT"
S_0028,27-31,Male,Philippines,Pangasinan
S_0029,18-21,Male,Korea,Suwon
S_0030,18-21,Female,USA,Kailua Hawaii
S_0031,18-21,Male,America,Colorado
S_0032,37-42,Female,Philippines,Pasig City
S_0033,22-26,Male,China,Hebei
S_0034,22-26,Male,United states,Laie
S_0035,18-21,Female,Scotland,Aberdeen
S_0036,22-26,Female,Canada,Alberta
S_0037,22-26,Male,Mongolia,Ulaanbaatar
S_0038,18-21,Female,US,Spokane Washington
S_0039,50-58,Female,Canada,Langley
S_0040,43-49,Female,Kiribati,Tarawa
S_0041,18-21,Male,USA,Washington
S_0042,22-26,Female,Indonesia,Jakarta
S_0043,22-26,Female,Mexico,Puerto Vallarta
S_0044,18-21,Female,United States,Florida
S_0045,50-58,Female,philippines,tuguegarao
S_0046,18-21,Male,PNG,Port Moresby
S_0047,27-31,Male,Malaysia,Sarawak
S_0048,18-21,Female,United States,Utah
S_0049,43-49,Male,United States,Arizona
S_0050,66-70,Male,Papua New Guinea,Port Morgan
S_0051,27-31,Female,United States,Bountiful
S_0052,27-31,Female,United States,"Salt Lake City, Utah"
S_0053,18-21,Male,Philippines,General Santos City
S_0054,27-31,Male,USA,Utah
S_0055,50-58,Female,New Zealand,Hamilton
S_0056,22-26,Male,Japan,Ibaraki
S_0057,22-26,Male,China,Shanghai
S_0058,22-26,Female,Mexico,Puebla
