source_human_id,response_id,age,generation,sex,country,city,fam_1,fam_2,fam_3,fam_4,fam_5,fam_6,fam_7,use_1,use_2,use_3,use_4,use_5,use_6,use_7,use_8,use_9,use_10,use_11,risk_1,risk_2,risk_3,risk_4,risk_5,risk_6,fam_1_norm,fam_2_norm,fam_3_norm,fam_4_norm,fam_5_norm,fam_6_norm,fam_7_norm,use_1_norm,use_2_norm,use_3_norm,use_4_norm,use_5_norm,use_6_norm,use_7_norm,use_8_norm,use_9_norm,use_10_norm,use_11_norm,risk_1_norm,risk_2_norm,risk_3_norm,risk_4_norm,risk_5_norm,risk_6_norm,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q4_7,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q5_7,q5_8,q6_1,q6_2,q6_3,q6_4,q6_5,q6_6,q6_7,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q8_1,q8_2,q8_3,q8_4,q8_5,q8_6,q8_7,q9_1,q9_2,q9_3,q10_1,q10_2,q10_3,q10_4,full_survey_responses
H_0001,R_BK7n6lvbtdnxDGN,22-26,younger Gen Z,Female,Philippines,Naga,3,5,2,3,5,4,3,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,0.5,1.0,0.25,0.5,1.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4,4,5,3,4,4,4,5,5,5,5,5,5,5,5,2,3,3,2,2,2,2,5,2,5,5,4,5,5,5,2,2,5,5,3,5,5,5,5,5,5,5,"{""q4_1"": 4, ""q4_2"": 4, ""q4_3"": 5, ""q4_4"": 3, ""q4_5"": 4, ""q4_6"": 4, ""q4_7"": 4, ""q5_1"": 5, ""q5_2"": 5, ""q5_3"": 5, ""q5_4"": 5, ""q5_5"": 5, ""q5_6"": 5, ""q5_7"": 5, ""q5_8"": 5, ""q6_1"": 2, ""q6_2"": 3, ""q6_3"": 3, ""q6_4"": 2, ""q6_5"": 2, ""q6_6"": 2, ""q6_7"": 2, ""q7_1"": 5, ""q7_2"": 2, ""q7_3"": 5, ""q7_4"": 5, ""q7_5"": 4, ""q7_6"": 5, ""q8_1"": 5, ""q8_2"": 5, ""q8_3"": 2, ""q8_4"": 2, ""q8_5"": 5, ""q8_6"": 5, ""q8_7"": 3, ""q9_1"": 5, ""q9_2"": 5, ""q9_3"": 5, ""q10_1"": 5, ""q10_2"": 5, ""q10_3"": 5, ""q10_4"": 5}"
H_0664,R_eM3EDIimNs2YGMV,22-26,younger Millennials,Female,Philippines,Quezon City,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.5,2,2,2,2,1,1,1,5,5,5,3,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"{""q4_1"": 2, ""q4_2"": 2, ""q4_3"": 2, ""q4_4"": 2, ""q4_5"": 1, ""q4_6"": 1, ""q4_7"": 1, ""q5_1"": 5, ""q5_2"": 5, ""q5_3"": 5, ""q5_4"": 3, ""q5_5"": 4, ""q5_6"": 4, ""q5_7"": 4, ""q5_8"": 4, ""q6_1"": 3, ""q6_2"": 3, ""q6_3"": 2, ""q6_4"": 2, ""q6_5"": 2, ""q6_6"": 2, ""q6_7"": 2, ""q7_1"": 2, ""q7_2"": 2, ""q7_3"": 2, ""q7_4"": 2, ""q7_5"": 2, ""q7_6"": 2, ""q8_1"": 2, ""q8_2"": 2, ""q8_3"": 2, ""q8_4"": 2, ""q8_5"": 2, ""q8_6"": 2, ""q8_7"": 2, ""q9_1"": 2, ""q9_2"": 2, ""q9_3"": 2, ""q10_1"": 2, ""q10_2"": 2, ""q10_3"": 2, ""q10_4"": 2}"
H_0332,R_2ahLacxIsXsjli9,43-49,older Gen X,Female,Philippines,Naga Cith,3,3,3,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"{""q4_1"": 3, ""q4_2"": 3, ""q4_3"": 3, ""q4_4"": 3, ""q4_5"": 3, ""q4_6"": 3, ""q4_7"": 3, ""q5_1"": 3, ""q5_2"": 3, ""q5_3"": 3, ""q5_4"": 3, ""q5_5"": 3, ""q5_6"": 3, ""q5_7"": 3, ""q5_8"": 3, ""q6_1"": 3, ""q6_2"": 3, ""q6_3"": 3, ""q6_4"": 3, ""q6_5"": 3, ""q6_6"": 3, ""q6_7"": 3, ""q7_1"": 3, ""q7_2"": 3, ""q7_3"": 3, ""q7_4"": 3, ""q7_5"": 3, ""q7_6"": 3, ""q8_1"": 3, ""q8_2"": 3, ""q8_3"": 3, ""q8_4"": 3, ""q8_5"": 3, ""q8_6"": 3, ""q8_7"": 3, ""q9_1"": 3, ""q9_2"": 3, ""q9_3"": 3, ""q10_1"": 3, ""q10_2"": 3, ""q10_3"": 3, ""q10_4"": 3}"
H_0333,R_DkjsPDt35SKPXON,22-26,older Millennials,Female,Tonga,Nuku’alofa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,"{""q4_1"": 3, ""q4_2"": 3, ""q4_3"": 3, ""q4_4"": 3, ""q4_5"": 3, ""q4_6"": 3, ""q4_7"": 3, ""q5_1"": 3, ""q5_2"": 3, ""q5_3"": 3, ""q5_4"": 3, ""q5_5"": 3, ""q5_6"": 3, ""q5_7"": 3, ""q5_8"": 3, ""q6_1"": 3, ""q6_2"": 3, ""q6_3"": 3, ""q6_4"": 3, ""q6_5"": 3, ""q6_6"": 3, ""q6_7"": 3, ""q7_1"": 2, ""q7_2"": 2, ""q7_3"": 2, ""q7_4"": 2, ""q7_5"": 2, ""q7_6"": 2, ""q8_1"": 2, ""q8_2"": 2, ""q8_3"": 2, ""q8_4"": 2, ""q8_5"": 2, ""q8_6"": 2, ""q8_7"": 2, ""q9_1"": 2, ""q9_2"": 2, ""q9_3"": 2, ""q10_1"": 3, ""q10_2"": 3, ""q10_3"": 3, ""q10_4"": 3}"
H_0334,R_3lYpx46diNNGmpc,18-21,older Millennials,Female,United States,Utah,2,3,2,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,0.25,0.5,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2,2,2,2,2,3,2,3,2,2,2,3,3,1,2,3,3,3,4,2,2,3,4,5,2,4,3,4,4,4,4,4,4,3,3,3,3,4,3,3,"{""q4_1"": 2, ""q4_2"": 2, ""q4_3"": 2, ""q4_4"": 2, ""q4_5"": 2, ""q4_6"": 2, ""q4_7"": 2, ""q5_1"": 3, ""q5_2"": 2, ""q5_3"": 3, ""q5_4"": 2, ""q5_5"": 2, ""q5_6"": 2, ""q5_7"": 3, ""q5_8"": 3, ""q6_1"": 1, ""q6_2"": 2, ""q6_3"": 3, ""q6_4"": 3, ""q6_5"": 3, ""q6_6"": 4, ""q6_7"": 2, ""q7_1"": 2, ""q7_2"": 3, ""q7_3"": 4, ""q7_4"": 5, ""q7_5"": 2, ""q7_6"": 4, ""q8_1"": 3, ""q8_2"": 4, ""q8_3"": 4, ""q8_4"": 4, ""q8_5"": 4, ""q8_6"": 4, ""q8_7"": 4, ""q9_1"": 3, ""q9_2"": 3, ""q9_3"": 3, ""q10_1"": 3, ""q10_2"": 4, ""q10_3"": 3, ""q10_4"": 3}"
H_0830,R_2dlIBBNRTKmx25B,22-26,Silent Generation,Female,Tonga,Haapai,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,"{""q4_1"": 1, ""q4_2"": 1, ""q4_3"": 1, ""q4_4"": 1, ""q4_5"": 1, ""q4_6"": 1, ""q4_7"": 1, ""q5_1"": 1, ""q5_2"": 1, ""q5_3"": 1, ""q5_4"": 1, ""q5_5"": 1, ""q5_6"": 1, ""q5_7"": 1, ""q5_8"": 1, ""q6_1"": 1, ""q6_2"": 1, ""q6_3"": 1, ""q6_4"": 1, ""q6_5"": 1, ""q6_6"": 1, ""q6_7"": 1, ""q7_1"": 1, ""q7_2"": 1, ""q7_3"": 1, ""q7_4"": 1, ""q7_5"": 1, ""q7_6"": 1, ""q8_1"": 1, ""q8_2"": 1, ""q8_3"": 1, ""q8_4"": 1, ""q8_5"": 1, ""q8_6"": 1, ""q8_7"": 1, ""q9_1"": 1, ""q9_2"": 1, ""q9_3"": 1, ""q10_1"": 1, ""q10_2"": 2, ""q10_3"": 1, ""q10_4"": 1}"
H_0335,R_2rpjyaElPrvdkg6,22-26,older Millennials,Female,French Polynesia,Marquesas Islands,4,5,3,3,4,3,4,3,5,5,1,1,2,2,5,1,1,1,2,1,2,3,3,5,0.75,1.0,0.5,0.5,0.75,0.5,0.75,0.5,1.0,1.0,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5,0.5,1.0,1,1,4,5,3,2,1,2,1,1,1,1,2,2,1,2,2,2,3,3,2,3,2,1,1,2,1,1,1,2,3,1,2,1,1,2,2,4,1,1,2,4,"{""q4_1"": 1, ""q4_2"": 1, ""q4_3"": 4, ""q4_4"": 5, ""q4_5"": 3, ""q4_6"": 2, ""q4_7"": 1, ""q5_1"": 2, ""q5_2"": 1, ""q5_3"": 1, ""q5_4"": 1, ""q5_5"": 1, ""q5_6"": 2, ""q5_7"": 2, ""q5_8"": 1, ""q6_1"": 2, ""q6_2"": 2, ""q6_3"": 2, ""q6_4"": 3, ""q6_5"": 3, ""q6_6"": 2, ""q6_7"": 3, ""q7_1"": 2, ""q7_2"": 1, ""q7_3"": 1, ""q7_4"": 2, ""q7_5"": 1, ""q7_6"": 1, ""q8_1"": 1, ""q8_2"": 2, ""q8_3"": 3, ""q8_4"": 1, ""q8_5"": 2, ""q8_6"": 1, ""q8_7"": 1, ""q9_1"": 2, ""q9_2"": 2, ""q9_3"": 4, ""q10_1"": 1, ""q10_2"": 1, ""q10_3"": 2, ""q10_4"": 4}"
H_0831,R_3ewASV1NcSe39d6,22-26,Silent Generation,Female,Tonga,Haapai,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"{""q4_1"": 1, ""q4_2"": 1, ""q4_3"": 1, ""q4_4"": 1, ""q4_5"": 1, ""q4_6"": 1, ""q4_7"": 1, ""q5_1"": 1, ""q5_2"": 1, ""q5_3"": 1, ""q5_4"": 1, ""q5_5"": 1, ""q5_6"": 1, ""q5_7"": 1, ""q5_8"": 1, ""q6_1"": 1, ""q6_2"": 1, ""q6_3"": 1, ""q6_4"": 1, ""q6_5"": 1, ""q6_6"": 1, ""q6_7"": 1, ""q7_1"": 1, ""q7_2"": 1, ""q7_3"": 1, ""q7_4"": 1, ""q7_5"": 1, ""q7_6"": 2, ""q8_1"": 1, ""q8_2"": 1, ""q8_3"": 1, ""q8_4"": 1, ""q8_5"": 1, ""q8_6"": 1, ""q8_7"": 1, ""q9_1"": 1, ""q9_2"": 1, ""q9_3"": 1, ""q10_1"": 1, ""q10_2"": 1, ""q10_3"": 1, ""q10_4"": 1}"
H_0002,R_1QFpBxKjYqXznri,27-31,older Gen Z,Female,Mongolia,Ulaanbaatar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.5,0.5,1.0,0.75,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,"{""q4_1"": 3, ""q4_2"": 3, ""q4_3"": 4, ""q4_4"": 3, ""q4_5"": 4, ""q4_6"": 4, ""q4_7"": 4, ""q5_1"": 4, ""q5_2"": 4, ""q5_3"": 4, ""q5_4"": 4, ""q5_5"": 4, ""q5_6"": 4, ""q5_7"": 4, ""q5_8"": 4, ""q6_1"": 3, ""q6_2"": 3, ""q6_3"": 3, ""q6_4"": 3, ""q6_5"": 3, ""q6_6"": 3, ""q6_7"": 3, ""q7_1"": 3, ""q7_2"": 3, ""q7_3"": 3, ""q7_4"": 3, ""q7_5"": 3, ""q7_6"": 3, ""q8_1"": 3, ""q8_2"": 3, ""q8_3"": 3, ""q8_4"": 3, ""q8_5"": 3, ""q8_6"": 3, ""q8_7"": 3, ""q9_1"": 4, ""q9_2"": 4, ""q9_3"": 4, ""q10_1"": 4, ""q10_2"": 4, ""q10_3"": 4, ""q10_4"": 4}"
H_0336,R_2wyNm3FdtZbgk9a,18-21,older Gen Z,Female,United States,Laie Hawaii,3,4,4,2,4,3,5,2,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,0.5,0.75,0.75,0.25,0.75,0.5,1.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,3,3,3,3,3,3,4,3,4,3,3,2,2,3,3,3,3,3,2,2,3,3,4,3,3,4,4,3,2,2,3,4,4,4,4,"{""q4_1"": 1, ""q4_2"": 1, ""q4_3"": 1, ""q4_4"": 1, ""q4_5"": 1, ""q4_6"": 1, ""q4_7"": 1, ""q5_1"": 3, ""q5_2"": 3, ""q5_3"": 3, ""q5_4"": 3, ""q5_5"": 3, ""q5_6"": 3, ""q5_7"": 4, ""q5_8"": 3, ""q6_1"": 4, ""q6_2"": 3, ""q6_3"": 3, ""q6_4"": 2, ""q6_5"": 2, ""q6_6"": 3, ""q6_7"": 3, ""q7_1"": 3, ""q7_2"": 3, ""q7_3"": 3, ""q7_4"": 2, ""q7_5"": 2, ""q7_6"": 3, ""q8_1"": 3, ""q8_2"": 4, ""q8_3"": 3, ""q8_4"": 3, ""q8_5"": 4, ""q8_6"": 4, ""q8_7"": 3, ""q9_1"": 2, ""q9_2"": 2, ""q9_3"": 3, ""q10_1"": 4, ""q10_2"": 4, ""q10_3"": 4, ""q10_4"": 4}"
