q_id,model_a,model_b,js_cross
q4_1,gpt4,claude,0.08225153283288361
q4_2,gpt4,claude,0.09248753433134525
q4_3,gpt4,claude,0.054646995753055844
q4_4,gpt4,claude,0.0681102532646867
q4_5,gpt4,claude,0.24932699799714045
q4_6,gpt4,claude,0.13055326702407552
q4_7,gpt4,claude,0.11049988964017565
q5_1,gpt4,claude,0.18101484777022378
q5_2,gpt4,claude,0.23480111942632886
q5_3,gpt4,claude,0.14967561357237222
q5_4,gpt4,claude,0.14987884036774687
q5_5,gpt4,claude,0.15033585562667637
q5_6,gpt4,claude,0.15217916731551265
q5_7,gpt4,claude,0.282242125296946
q5_8,gpt4,claude,0.11004623065850766
q7_1,gpt4,claude,0.21852878942996973
q7_2,gpt4,claude,0.22280413555265086
q7_3,gpt4,claude,0.2277896549398532
q7_4,gpt4,claude,0.19058257186913322
q7_5,gpt4,claude,0.198542579347834
q7_6,gpt4,claude,0.2429249279325137
q9_1,gpt4,claude,0.08021639031495363
q9_2,gpt4,claude,0.30399413737197606
q9_3,gpt4,claude,0.392097013581274
q10_1,gpt4,claude,0.03710836146160098
q10_2,gpt4,claude,0.08772610825809901
q10_3,gpt4,claude,0.1974479478277667
q10_4,gpt4,claude,0.20741072838349964
