source_human_id,tau_PU,tau_PU_level,tau_PU_verbal,tau_PEOU,tau_PEOU_level,tau_PEOU_verbal,tau_BI,tau_BI_level,tau_BI_verbal,tau_ATT,tau_ATT_level,tau_ATT_verbal,tau_AI_CAP,tau_AI_CAP_level,tau_AI_CAP_verbal
H_0001,-1.3262444089597,LOW,You are skeptical that AI tools genuinely improve task performance.,-0.49290419905928834,MODERATE,You find most apps usable but sometimes need time to learn.,0.11129101841032957,MODERATE,You sometimes try new technology when it seems relevant.,-0.1474790756775293,MODERATE,You have a neutral-to-positive attitude toward AI activities.,0.17196821845433347,MODERATE,You think current AI has reasonable but limited capability.
H_0002,0.4653819993024935,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-0.6297925517616224,LOW,You find new technology interfaces difficult and frustrating.,0.6370145766405504,HIGH,You actively seek out and adopt useful new technology tools.,0.9257001514937957,HIGH,You feel enthusiastic and positive about AI-assisted activities.,-0.872522168388959,LOW,You doubt that current AI handles complex real-world tasks well.
H_0003,1.5101653238060317,HIGH,You strongly believe AI tools improve efficiency and outcomes.,-0.13467344076381443,MODERATE,You find most apps usable but sometimes need time to learn.,0.6278355449972447,HIGH,You actively seek out and adopt useful new technology tools.,-0.9000036999785185,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,0.5540466172736607,HIGH,You believe current AI is capable of complex information tasks.
H_0004,0.9757829709095197,HIGH,You strongly believe AI tools improve efficiency and outcomes.,0.10633605830720978,MODERATE,You find most apps usable but sometimes need time to learn.,0.5599753847192773,HIGH,You actively seek out and adopt useful new technology tools.,-0.6152542496699747,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,1.1359247788308917,HIGH,You believe current AI is capable of complex information tasks.
H_0005,-0.33237127530630267,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-1.2598642158627587,LOW,You find new technology interfaces difficult and frustrating.,-1.2043861179602402,LOW,You rarely choose to adopt new digital tools in daily life.,-1.7143724869962802,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,-0.8641941835187504,LOW,You doubt that current AI handles complex real-world tasks well.
H_0006,0.23485373279111432,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-0.3473347037432826,MODERATE,You find most apps usable but sometimes need time to learn.,-0.4215011383200716,MODERATE,You sometimes try new technology when it seems relevant.,-0.553553524516597,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,0.8129900231729356,HIGH,You believe current AI is capable of complex information tasks.
H_0007,1.1395738924557086,HIGH,You strongly believe AI tools improve efficiency and outcomes.,0.03329581447634181,MODERATE,You find most apps usable but sometimes need time to learn.,0.6032284751558982,HIGH,You actively seek out and adopt useful new technology tools.,1.164934016761097,HIGH,You feel enthusiastic and positive about AI-assisted activities.,-1.1479708080424829,LOW,You doubt that current AI handles complex real-world tasks well.
H_0008,1.84001312751885,HIGH,You strongly believe AI tools improve efficiency and outcomes.,1.9453178835288307,HIGH,You pick up new technology quickly and find it intuitive.,0.20740064377117112,MODERATE,You sometimes try new technology when it seems relevant.,0.4874267080673205,MODERATE,You have a neutral-to-positive attitude toward AI activities.,-0.11617360648129109,MODERATE,You think current AI has reasonable but limited capability.
H_0009,-0.3905449613668415,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-0.44374069924236786,MODERATE,You find most apps usable but sometimes need time to learn.,0.07415315682961066,MODERATE,You sometimes try new technology when it seems relevant.,-1.350193472885451,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,-0.5661273872304237,LOW,You doubt that current AI handles complex real-world tasks well.
H_0010,0.34810198356360267,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-0.12447376336157255,MODERATE,You find most apps usable but sometimes need time to learn.,1.453026993743159,HIGH,You actively seek out and adopt useful new technology tools.,-0.16075850981321252,MODERATE,You have a neutral-to-positive attitude toward AI activities.,1.2114558499697734,HIGH,You believe current AI is capable of complex information tasks.
H_0011,-0.6192127550045495,LOW,You are skeptical that AI tools genuinely improve task performance.,0.3875276088028722,MODERATE,You find most apps usable but sometimes need time to learn.,-0.8897422026463546,LOW,You rarely choose to adopt new digital tools in daily life.,0.1342587984284177,MODERATE,You have a neutral-to-positive attitude toward AI activities.,-0.0925574917924847,MODERATE,You think current AI has reasonable but limited capability.
H_0012,-0.9618207517722434,LOW,You are skeptical that AI tools genuinely improve task performance.,-0.29256891263591017,MODERATE,You find most apps usable but sometimes need time to learn.,-1.4641932046627388,LOW,You rarely choose to adopt new digital tools in daily life.,-0.46055516687651654,MODERATE,You have a neutral-to-positive attitude toward AI activities.,-0.06670699081466581,MODERATE,You think current AI has reasonable but limited capability.
H_0013,1.1211693443671098,HIGH,You strongly believe AI tools improve efficiency and outcomes.,0.8827658368921351,HIGH,You pick up new technology quickly and find it intuitive.,-0.549392164218302,LOW,You rarely choose to adopt new digital tools in daily life.,0.3058932764143263,MODERATE,You have a neutral-to-positive attitude toward AI activities.,-0.06841282047633619,MODERATE,You think current AI has reasonable but limited capability.
H_0014,-1.3337326402647303,LOW,You are skeptical that AI tools genuinely improve task performance.,-1.5331786620617918,LOW,You find new technology interfaces difficult and frustrating.,-0.46516942117043836,MODERATE,You sometimes try new technology when it seems relevant.,-1.1420224363816998,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,-0.425066963325114,MODERATE,You think current AI has reasonable but limited capability.
H_0015,-1.1583263496396907,LOW,You are skeptical that AI tools genuinely improve task performance.,0.010239139376159397,MODERATE,You find most apps usable but sometimes need time to learn.,1.751812130134919,HIGH,You actively seek out and adopt useful new technology tools.,-0.9373228602684539,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,-1.0112340444820032,LOW,You doubt that current AI handles complex real-world tasks well.
H_0016,-0.6804377025416336,LOW,You are skeptical that AI tools genuinely improve task performance.,-0.27487949737991874,MODERATE,You find most apps usable but sometimes need time to learn.,0.23270760967127027,MODERATE,You sometimes try new technology when it seems relevant.,-1.6593839765383902,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,-0.5316477304787139,LOW,You doubt that current AI handles complex real-world tasks well.
H_0017,0.4488381555564168,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-1.0154105388611403,LOW,You find new technology interfaces difficult and frustrating.,0.9078664015974536,HIGH,You actively seek out and adopt useful new technology tools.,0.06387683810174372,MODERATE,You have a neutral-to-positive attitude toward AI activities.,0.27045075073284847,MODERATE,You think current AI has reasonable but limited capability.
H_0018,0.7186855563457155,HIGH,You strongly believe AI tools improve efficiency and outcomes.,-0.09058547782401083,MODERATE,You find most apps usable but sometimes need time to learn.,0.4829211572535137,MODERATE,You sometimes try new technology when it seems relevant.,0.855222922824223,HIGH,You feel enthusiastic and positive about AI-assisted activities.,-0.3546607337380578,MODERATE,You think current AI has reasonable but limited capability.
H_0019,0.16469876874113157,MODERATE,You think AI tools can be somewhat useful for certain tasks.,0.30189726169964587,MODERATE,You find most apps usable but sometimes need time to learn.,0.24474956418998503,MODERATE,You sometimes try new technology when it seems relevant.,-0.22407362667946154,MODERATE,You have a neutral-to-positive attitude toward AI activities.,-0.9747644725361689,LOW,You doubt that current AI handles complex real-world tasks well.
H_0020,1.1723243549135378,HIGH,You strongly believe AI tools improve efficiency and outcomes.,0.7732556031175907,HIGH,You pick up new technology quickly and find it intuitive.,1.3837037718197431,HIGH,You actively seek out and adopt useful new technology tools.,1.1599661603009213,HIGH,You feel enthusiastic and positive about AI-assisted activities.,0.774450604277384,HIGH,You believe current AI is capable of complex information tasks.
H_0021,1.6191077967510137,HIGH,You strongly believe AI tools improve efficiency and outcomes.,1.082025493384192,HIGH,You pick up new technology quickly and find it intuitive.,0.7475444515991154,HIGH,You actively seek out and adopt useful new technology tools.,0.7163403521782372,HIGH,You feel enthusiastic and positive about AI-assisted activities.,0.9936099696539035,HIGH,You believe current AI is capable of complex information tasks.
H_0022,-0.44542264082844074,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-0.5080482463704531,LOW,You find new technology interfaces difficult and frustrating.,0.5407259518942159,HIGH,You actively seek out and adopt useful new technology tools.,0.20247085674273058,MODERATE,You have a neutral-to-positive attitude toward AI activities.,-1.530987840300079,LOW,You doubt that current AI handles complex real-world tasks well.
H_0023,0.07859020247883983,MODERATE,You think AI tools can be somewhat useful for certain tasks.,1.7058816090850153,HIGH,You pick up new technology quickly and find it intuitive.,1.9971291992327358,HIGH,You actively seek out and adopt useful new technology tools.,1.84481954352709,HIGH,You feel enthusiastic and positive about AI-assisted activities.,1.5288119507716922,HIGH,You believe current AI is capable of complex information tasks.
H_0024,-0.8892559937661799,LOW,You are skeptical that AI tools genuinely improve task performance.,0.8297446347297592,HIGH,You pick up new technology quickly and find it intuitive.,-0.631853561410445,LOW,You rarely choose to adopt new digital tools in daily life.,0.09561767702274954,MODERATE,You have a neutral-to-positive attitude toward AI activities.,-0.3893669226544353,MODERATE,You think current AI has reasonable but limited capability.
H_0025,0.12322888401423544,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-1.7285623662096574,LOW,You find new technology interfaces difficult and frustrating.,-1.1366686307081975,LOW,You rarely choose to adopt new digital tools in daily life.,-0.5223576047550968,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,0.3586451095078293,MODERATE,You think current AI has reasonable but limited capability.
H_0026,-1.8134929664240986,LOW,You are skeptical that AI tools genuinely improve task performance.,-0.9424869256171003,LOW,You find new technology interfaces difficult and frustrating.,-1.9269709065556364,LOW,You rarely choose to adopt new digital tools in daily life.,-2.3176376396919416,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,-0.7512137144916742,LOW,You doubt that current AI handles complex real-world tasks well.
H_0027,1.0135222764301641,HIGH,You strongly believe AI tools improve efficiency and outcomes.,1.901506922700862,HIGH,You pick up new technology quickly and find it intuitive.,1.4398900447445862,HIGH,You actively seek out and adopt useful new technology tools.,0.6463790213751407,HIGH,You feel enthusiastic and positive about AI-assisted activities.,0.7193196404691949,HIGH,You believe current AI is capable of complex information tasks.
H_0028,-1.7189755475635753,LOW,You are skeptical that AI tools genuinely improve task performance.,-0.5548839532453276,LOW,You find new technology interfaces difficult and frustrating.,-0.8537872499167672,LOW,You rarely choose to adopt new digital tools in daily life.,-1.952372395299688,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,-0.3112851523524248,MODERATE,You think current AI has reasonable but limited capability.
H_0029,-0.21326663542972568,MODERATE,You think AI tools can be somewhat useful for certain tasks.,0.9108316643577534,HIGH,You pick up new technology quickly and find it intuitive.,-0.1267864335097922,MODERATE,You sometimes try new technology when it seems relevant.,-0.006777341796848795,MODERATE,You have a neutral-to-positive attitude toward AI activities.,-1.526469185339682,LOW,You doubt that current AI handles complex real-world tasks well.
H_0030,-0.9199371194589722,LOW,You are skeptical that AI tools genuinely improve task performance.,0.6171776942936723,HIGH,You pick up new technology quickly and find it intuitive.,-1.4077121069077647,LOW,You rarely choose to adopt new digital tools in daily life.,-0.9512223204065924,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,0.09267518280057022,MODERATE,You think current AI has reasonable but limited capability.
H_0031,-0.3118663943889942,MODERATE,You think AI tools can be somewhat useful for certain tasks.,0.32404129383313185,MODERATE,You find most apps usable but sometimes need time to learn.,-0.30098169388590845,MODERATE,You sometimes try new technology when it seems relevant.,-0.05798142025078575,MODERATE,You have a neutral-to-positive attitude toward AI activities.,-0.5828095110388414,LOW,You doubt that current AI handles complex real-world tasks well.
H_0032,1.2945346752035798,HIGH,You strongly believe AI tools improve efficiency and outcomes.,-0.261284789245373,MODERATE,You find most apps usable but sometimes need time to learn.,0.8557214653803825,HIGH,You actively seek out and adopt useful new technology tools.,1.2479165619888164,HIGH,You feel enthusiastic and positive about AI-assisted activities.,-0.9595585194179187,LOW,You doubt that current AI handles complex real-world tasks well.
H_0033,1.2348793971155676,HIGH,You strongly believe AI tools improve efficiency and outcomes.,-0.42197113059812014,MODERATE,You find most apps usable but sometimes need time to learn.,0.7333937904738633,HIGH,You actively seek out and adopt useful new technology tools.,1.5337853787714204,HIGH,You feel enthusiastic and positive about AI-assisted activities.,0.20070038691446482,MODERATE,You think current AI has reasonable but limited capability.
H_0034,-0.22740094770708244,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-1.7282117708433964,LOW,You find new technology interfaces difficult and frustrating.,0.7341082051484189,HIGH,You actively seek out and adopt useful new technology tools.,-0.15665197691970822,MODERATE,You have a neutral-to-positive attitude toward AI activities.,-0.30952682584933106,MODERATE,You think current AI has reasonable but limited capability.
H_0035,0.49555643381324616,MODERATE,You think AI tools can be somewhat useful for certain tasks.,0.7766804174697957,HIGH,You pick up new technology quickly and find it intuitive.,0.2825170482427125,MODERATE,You sometimes try new technology when it seems relevant.,0.6742134688305244,HIGH,You feel enthusiastic and positive about AI-assisted activities.,1.1438493580048343,HIGH,You believe current AI is capable of complex information tasks.
H_0036,-0.5885034777399788,LOW,You are skeptical that AI tools genuinely improve task performance.,-1.7120240184176803,LOW,You find new technology interfaces difficult and frustrating.,-1.5223243066047878,LOW,You rarely choose to adopt new digital tools in daily life.,0.9558667695125286,HIGH,You feel enthusiastic and positive about AI-assisted activities.,-0.29792037670649346,MODERATE,You think current AI has reasonable but limited capability.
H_0037,-0.766359466740689,LOW,You are skeptical that AI tools genuinely improve task performance.,0.5165435784821198,HIGH,You pick up new technology quickly and find it intuitive.,-0.8643320477925772,LOW,You rarely choose to adopt new digital tools in daily life.,-0.9494284699004931,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,0.007570762605149615,MODERATE,You think current AI has reasonable but limited capability.
H_0038,-0.04194250887781676,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-0.5848242291683864,LOW,You find new technology interfaces difficult and frustrating.,0.13253767888258258,MODERATE,You sometimes try new technology when it seems relevant.,-1.3592110112982614,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,-0.8218973251207584,LOW,You doubt that current AI handles complex real-world tasks well.
H_0039,1.1061037362771937,HIGH,You strongly believe AI tools improve efficiency and outcomes.,-0.1651227849458808,MODERATE,You find most apps usable but sometimes need time to learn.,0.4072408076722177,MODERATE,You sometimes try new technology when it seems relevant.,0.4795758146922947,MODERATE,You have a neutral-to-positive attitude toward AI activities.,-0.44591958343985855,MODERATE,You think current AI has reasonable but limited capability.
H_0040,-0.3542595980592902,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-0.25053503050238146,MODERATE,You find most apps usable but sometimes need time to learn.,-0.08129164287750804,MODERATE,You sometimes try new technology when it seems relevant.,-1.0560260705446882,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,0.5157370716062176,HIGH,You believe current AI is capable of complex information tasks.
H_0041,-0.924471155811544,LOW,You are skeptical that AI tools genuinely improve task performance.,-0.8293600359027673,LOW,You find new technology interfaces difficult and frustrating.,1.0011090395119617,HIGH,You actively seek out and adopt useful new technology tools.,-0.42726990901569856,MODERATE,You have a neutral-to-positive attitude toward AI activities.,-0.1207425305271254,MODERATE,You think current AI has reasonable but limited capability.
H_0042,0.39677626924690595,MODERATE,You think AI tools can be somewhat useful for certain tasks.,0.2117115130194257,MODERATE,You find most apps usable but sometimes need time to learn.,-0.56935778076948,LOW,You rarely choose to adopt new digital tools in daily life.,2.9824854606912297,HIGH,You feel enthusiastic and positive about AI-assisted activities.,0.1970207802410058,MODERATE,You think current AI has reasonable but limited capability.
