source_human_id,response_id,age,generation,sex,country,city,fam_1,fam_2,fam_3,fam_4,fam_5,fam_6,fam_7,use_1,use_2,use_3,use_4,use_5,use_6,use_7,use_8,use_9,use_10,use_11,risk_1,risk_2,risk_3,risk_4,risk_5,risk_6,fam_1_norm,fam_2_norm,fam_3_norm,fam_4_norm,fam_5_norm,fam_6_norm,fam_7_norm,use_1_norm,use_2_norm,use_3_norm,use_4_norm,use_5_norm,use_6_norm,use_7_norm,use_8_norm,use_9_norm,use_10_norm,use_11_norm,risk_1_norm,risk_2_norm,risk_3_norm,risk_4_norm,risk_5_norm,risk_6_norm
H_0007,R_1LdGGTGxBGD8P6X,43-49,younger Gen X,Female,United States,Utah,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.75,0.75,1.0,0.25
H_0008,R_2B8v1eE48HNE1D3,22-26,older Gen Z,Female,USA,Hawaii,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,5,4,4,1,5,5,2,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.75,0.0,1.0,1.0,0.25
H_0009,R_2WHyIS78yy6HOsh,22-26,older Gen Z,Female,Indonesia,Cikarang,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,1.0,1.0,0.0
H_0010,R_UVARrdNDeWl7rC9,22-26,younger Millennials,Female,Kiribati,Tarawa,3,3,3,3,4,3,3,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
H_0011,R_3fK2kHxgtRXqc2w,22-26,older Gen Z,Female,USA,Arizona,5,5,5,4,4,3,5,3,2,5,5,1,3,5,4,5,4,3,5,5,5,5,5,5,1.0,1.0,1.0,0.75,0.75,0.5,1.0,0.5,0.25,1.0,1.0,0.0,0.5,1.0,0.75,1.0,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0
H_0012,R_QbPNksSY6ZxD6I9,18-21,younger Millennials,Female,Philippines,Philippines,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
H_0013,R_3Pq79yqFrO6lTSo,18-21,younger Gen Z,Female,United States,Hawaii,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,4,5,1,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.75,0.75,1.0,0.0
H_0014,R_3m2iAeHOkvvCSxP,22-26,older Gen Z,Female,Taiwan,New Taipei City,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,3,5,1,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.5,1.0,0.0
H_0015,R_2CBN2s4ITmyJFxb,37-42,older Baby Boomer,Female,Philippines,Alicia,3,3,3,3,3,3,4,3,4,3,3,3,3,4,3,4,4,4,5,5,5,4,5,5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.75,0.75,0.75,1.0,1.0,1.0,0.75,1.0,1.0
H_0016,R_2do28AgTsDkWbbZ,22-26,younger Millennials,Female,Tahiti,Maraea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0
