synthetic_id,age,sex,city,country,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q4_7,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q5_7,q5_8,q6_1,q6_2,q6_3,q6_4,q6_5,q6_6,q6_7,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q8_1,q8_2,q8_3,q8_4,q8_5,q8_6,q8_7,q9_1,q9_2,q9_3,q10_1,q10_2,q10_3,q10_4
S_0001,18-21,Female,California,America,4,3,4,3,2,4,3,4,3,4,2,3,4,3,2,4,3,4,3,2,3,4,3,4,3,2,4,3,4,3,4,3,2,3,4,4,3,4,4,3,4,3
S_0002,18-21,Female,Texas,United States,4,3,4,2,3,4,3,4,3,4,3,2,3,4,3,4,3,4,3,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,4,4,3,4,3
S_0003,22-26,Female,Colorado,United States,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,3,4,3,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,4,4,3,4,3
S_0004,22-26,Male,Davao,Philippines,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,4,4
S_0005,22-26,Male,Spokane,Usa,4,3,4,3,2,4,3,4,3,4,2,3,4,3,2,4,3,3,4,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,4,3
S_0006,22-26,Male,Alberta,Canada,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,3,3,4,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,3,4,3,4,3
S_0007,22-26,Female,Bangkok,Thailand,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,4,3,4,3,4,4,3,4,3,4,3,4,4,3,4,4,4,3,4
S_0008,22-26,Female,Nueva Ecija,Philippines,4,3,4,3,4,3,2,4,4,3,4,3,3,4,3,4,3,4,3,4,3,3,3,4,3,4,3,3,4,3,4,3,4,3,3,4,3,4,4,3,4,3
S_0009,22-26,Male,Accra,Ghana,4,3,4,3,2,4,3,4,4,3,4,3,2,4,3,4,3,4,3,2,3,4,4,3,4,3,2,3,3,4,3,2,4,3,4,4,3,4,4,3,4,3
S_0010,22-26,Female,HI,US,4,3,4,3,2,4,3,4,3,4,2,3,4,3,2,4,3,4,3,2,3,4,3,4,3,2,3,4,4,3,4,3,2,3,4,4,3,4,3,4,3,4
S_0011,22-26,Female,Laie,Philippines,4,3,4,3,2,4,3,4,3,4,3,2,4,3,4,3,4,3,2,4,3,4,4,3,4,3,2,4,4,3,4,3,4,3,4,4,3,4,4,3,4,3
S_0012,22-26,Female,Butaritari,Kiribati,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2
S_0013,22-26,Female,Laie,Philippines,4,3,4,3,4,3,2,4,4,3,4,3,4,3,4,4,3,4,3,4,3,2,4,3,4,3,4,3,3,4,3,4,3,4,3,4,3,4,4,3,4,3
S_0014,43-49,Male,"Draper, Utah",United States of America,4,3,4,3,2,4,3,4,3,4,2,3,4,3,2,3,4,3,2,3,4,3,4,3,4,3,2,3,3,4,3,2,3,4,3,4,3,4,3,4,3,4
S_0015,32-36,Male,Nadi,Fiji,3,4,3,2,3,4,3,3,4,3,2,3,4,3,2,4,3,4,3,2,3,4,3,4,3,2,3,4,3,4,3,2,3,4,3,4,3,3,3,4,3,3
S_0016,32-36,Male,Fo'ui,Tonga,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,2,3,3,2,3,2
S_0017,27-31,Female,Papeete,Tahiti,3,4,3,2,4,3,2,3,4,3,2,3,4,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,2,3,4,3,2,3,4,3,4,3,3,4,3,2
S_0018,27-31,Female,Hawaii,USA,4,3,4,3,2,4,3,4,3,4,3,2,3,4,3,4,4,3,2,3,4,3,3,4,3,2,4,3,4,3,4,3,2,3,4,4,3,4,4,3,4,3
S_0019,18-21,Female,Davao City,Philippines,4,3,4,3,4,3,2,4,4,3,4,3,4,3,3,4,3,4,3,4,3,3,4,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,4,3,4
