model,style,n,mean_js_all,mean_sd,aci,q7_6_reverse_ok,js_behavioral_intention,js_perceived_usefulness,js_ease_of_use,js_ai_capability,js_attitude,alpha_behavioral_intention,alpha_perceived_usefulness,alpha_ease_of_use,alpha_ai_capability,alpha_attitude,rank_by_js
gpt4,study1_legacy,200,0.3932,0.78,-0.9146,True,0.4204,0.3646,0.3774,0.3984,0.4228,0.954,0.978,0.645,0.862,0.946,4.0
gpt4,full_stack_plus_fewshot_persona,200,0.3975,0.754,-0.8312,True,0.4182,0.3634,0.3969,0.4165,0.4157,0.961,0.975,0.632,0.862,0.938,5.0
gpt4,stack_traits_cot_persona_fewshot,200,0.3867,0.776,-0.8204,True,0.4066,0.3562,0.3654,0.4267,0.4146,0.962,0.981,0.661,0.839,0.944,3.0
gpt4,stack_persona_fewshot_cot,200,0.429,0.667,-0.8138,True,0.4543,0.4044,0.3988,0.4655,0.4517,0.953,0.975,0.65,0.744,0.928,6.0
gpt4,stack_fewshot_cot,200,0.3813,0.761,-0.7985,True,0.395,0.3586,0.3564,0.4274,0.4054,0.958,0.972,0.651,0.809,0.941,2.0
gpt4,cot_only,200,0.445,0.629,-0.9362,True,0.4864,0.4264,0.373,0.4823,0.4899,0.924,0.962,0.675,0.718,0.91,7.0
gpt4,zero_shot,200,0.3148,0.718,-0.2233,True,0.3332,0.2863,0.3218,0.3022,0.3387,0.956,0.977,0.694,0.893,0.942,1.0
claude,study1_legacy,200,0.4289,0.761,-1.0125,True,0.472,0.3896,0.3784,0.4815,0.4681,0.949,0.969,0.599,0.768,0.915,5.0
claude,full_stack_plus_fewshot_persona,200,0.4187,0.71,-0.8467,True,0.4467,0.3833,0.3728,0.4915,0.4549,0.938,0.97,0.542,0.802,0.915,4.0
claude,stack_traits_cot_persona_fewshot,200,0.4111,0.717,-0.832,True,0.4343,0.3765,0.3674,0.5041,0.4357,0.944,0.969,0.536,0.773,0.919,2.0
claude,stack_persona_fewshot_cot,200,0.4443,0.63,-0.787,True,0.4765,0.421,0.3678,0.5497,0.4701,0.923,0.963,0.583,0.519,0.902,6.0
claude,stack_fewshot_cot,200,0.4117,0.74,-0.8601,True,0.4353,0.3821,0.3628,0.4966,0.4391,0.95,0.973,0.55,0.774,0.92,3.0
claude,cot_only,200,0.4784,0.62,-0.9601,True,0.5234,0.4615,0.3794,0.57,0.5136,0.92,0.95,0.614,0.192,0.876,7.0
claude,zero_shot,200,0.3993,0.615,-0.4893,True,0.3893,0.3823,0.359,0.5841,0.3727,0.941,0.959,0.521,0.411,0.916,1.0
