RecordedDate,ResponseId,age,sex,country,city,country_raw
2023-05-09 22:41:53,R_BK7n6lvbtdnxDGN,22-26,Female,Philippines,Naga,Philippines
2023-05-09 23:06:39,R_eM3EDIimNs2YGMV,22-26,Female,Philippines,Quezon City,Philippines
2023-05-09 23:07:17,R_2ahLacxIsXsjli9,43-49,Female,Philippines,Naga Cith,Philippines
2023-05-10 01:22:05,R_DkjsPDt35SKPXON,22-26,Female,Tonga,Nuku’alofa,Tonga
2023-05-10 01:39:18,R_3kb1LK54jdZmBNC,43-49,Male,Philippines,Naga city,Philippines
2023-05-10 01:40:06,R_3lYpx46diNNGmpc,18-21,Female,United States,Utah,United States
2023-05-10 01:40:13,R_1CDgF65wzBqbh77,27-31,Male,Samoa,Apia,Samoa
2023-05-10 01:45:51,R_2dlIBBNRTKmx25B,22-26,Female,Tonga,Haapai,Tonga
2023-05-10 01:48:37,R_2rpjyaElPrvdkg6,22-26,Female,French Polynesia,Marquesas Islands,French Polynesia
2023-05-10 01:53:30,R_3ewASV1NcSe39d6,22-26,Female,Tonga,Haapai,Tonga
2023-05-10 02:04:36,R_1QFpBxKjYqXznri,27-31,Female,Mongolia,Ulaanbaatar,Mongolia
2023-05-10 02:39:44,R_2wyNm3FdtZbgk9a,18-21,Female,United States,Laie Hawaii,United States
2023-05-10 02:46:03,R_1OJPnN3q6etzuvb,22-26,Female,Tonga,Haapai,Kingdom of Tonga
2023-05-10 02:50:07,R_20NAB8dbA8vjvGL,18-21,Female,United States,Indiana,United States
2023-05-10 02:56:51,R_3kb3SUdNFlsFf58,22-26,Male,Fiji,Suva,Fiji
2023-05-10 03:08:09,R_uraSQJjkxEKc5jj,22-26,Female,Tonga,Haakame,Tonga
2023-05-10 03:12:33,R_0dFHI9nlzIlBPUZ,22-26,Female,Tonga,Tongatapu,Tonga
2023-05-10 03:28:56,R_1hydE2wgY0Q6Nxf,18-21,Male,United States,"Hauula, Hawaii",USA
2023-05-10 03:31:45,R_0eQTWozqzwybS0x,37-42,Female,Philippines,"Naga City, Camarines Sur",Philippines
2023-05-10 10:55:16,R_2uPOVecfz7JuSGF,27-31,Male,Papua New Guinea,Port Morgan,Papua New Guinea
2023-05-10 11:48:52,R_3EmLsEHyNwn4BFW,27-31,Female,French Polynesia,Mataiea,French Polynesia
2023-05-10 12:03:27,R_XMRKZTfTf6XRPSp,22-26,Male,United States,Draper Utah,United states
2023-05-10 12:27:55,R_1mI2HyDlbsuyVHI,22-26,Female,French Polynesia,Pirae,"French Polynesia, Tahiti"
2023-05-10 12:45:48,R_eRrPxXKFdFAFpex,22-26,Female,French Polynesia,French Polynesia,Tahiti
2023-05-10 13:22:55,R_3KBzvKr24HRWIRh,22-26,Female,French Polynesia,Tahiti,French Polynesia
2023-05-10 13:35:25,R_29tchBGV131zLfP,27-31,Male,Papua New Guinea,Port Moresby,Papua New Guinea
2023-05-10 14:18:26,R_1H15kX0VKWzXwzO,27-31,Male,French Polynesia,Mahina,Tahiti
2023-05-10 14:44:21,R_3G6umIftRStkFob,18-21,Female,New Zealand,Bay Of islands,New Zealand
2023-05-10 15:01:06,R_sNZCqOXxXgGa1Vv,37-42,Female,New Zealand,Haruru,New Zealand
2023-05-10 15:04:46,R_3k4X2l9iLWKQaex,22-26,Male,New Zealand,Hawkes Bay,New Zealand
2023-05-10 15:13:05,R_3CI19fx3gLguhSa,59-64,Female,New Zealand,Paihia,New Zealand
2023-05-10 15:46:02,R_25z0ZDzvfWjqMwG,22-26,Female,French Polynesia,French Polynesia,Tahiti
2023-05-10 16:00:53,R_3q7Q4fF381TniLD,22-26,Female,Indonesia,Bogor,Indonesia
2023-05-10 16:03:41,R_2PnC08mcbrrnUP4,22-26,Male,United States,Florida,USA
2023-05-10 16:14:09,R_2YadiXi6BcWSjfO,18-21,Female,United States,Missouri,United States
2023-05-10 16:46:27,R_1rAmy5mrFkWo7A5,22-26,Female,United States,"Atlanta, GA",United States
2023-05-10 16:56:00,R_27a6NKcYZQ1SaBm,27-31,Female,Cambodia,Phnom Penh,Cambodia
2023-05-10 17:09:39,R_YRLMT5mtIhvubF7,22-26,Female,French Polynesia,papeete,tahiti
2023-05-10 17:20:41,R_1242Gb1Itkvpy7O,22-26,Male,Japan,Fukui,Japan
2023-05-10 17:35:43,R_cILeQSVCPkioanD,22-26,Female,French Polynesia,Tahiti,French Polynesia
2023-05-10 17:54:22,R_3sca5CjwlD0wJKk,22-26,Female,New Zealand,Auckland,New Zealand
2023-05-10 18:10:29,R_3NyqUeeqrf70FUY,22-26,Female,French Polynesia,Faa'a,Tahiti
2023-05-10 18:20:44,R_2YsLxZkRnRa8QMK,27-31,Male,Indonesia,Jakarta,Indonesia
2023-05-10 18:47:52,R_278zS22mBtLlnmM,22-26,Female,United Kingdom,Aberdeen,Scotland
2023-05-10 20:44:53,R_1OrT5rX7S3MhWLQ,22-26,Female,Indonesia,Surakarta,Indonesia
2023-05-10 23:19:52,R_2RU41XvJypF8SGE,22-26,Female,Fiji,Suva,Fiji
2023-05-10 23:44:57,R_27gpUFBJd7GDGyV,18-21,Female,United States,Utah,USA
2023-05-10 23:48:07,R_erf75RYbttpKVXj,18-21,Male,United States,Utah,Usa
2023-05-11 00:01:35,R_3G2HZVamsM1tTS2,22-26,Female,Fiji,Lautoka,Fiji
2023-05-11 00:25:51,R_1q8lxbie5mVHVkG,22-26,Female,Philippines,Gensan City,Philippines
2023-05-11 00:35:08,R_NXX5f8KARx8tc2t,22-26,Female,Indonesia,Jakarta,Indonesia
2023-05-11 00:52:32,R_vTdjwIXAPUrkJ45,32-36,Female,Fiji,Menlo Park,Fiji
2023-05-11 00:58:11,R_11ZzvUUDtaJGDDt,22-26,Female,Philippines,General Santos City,Philippines
2023-05-11 01:10:36,R_2X0a14IN4XhEaIg,22-26,Female,Philippines,General Santos City,Philippines
2023-05-11 01:13:58,R_1QsVHT8sebm0Xrc,22-26,Male,Japan,Saitama,Japan
2023-05-11 01:18:03,R_2c5gTYUvEZrj9OJ,22-26,Male,Japan,Saitama,Japan
