synthetic_id,source_human_id,conditioning_arm,age,sex,country,city,chatgpt_usage,travel_freq,RecordedDate,ResponseId,tau_PU,tau_PU_level,tau_PU_verbal,tau_PEOU,tau_PEOU_level,tau_PEOU_verbal,tau_BI,tau_BI_level,tau_BI_verbal,tau_ATT,tau_ATT_level,tau_ATT_verbal,tau_AI_CAP,tau_AI_CAP_level,tau_AI_CAP_verbal
SYN_0001,H_0001,demo_plus_traits,22-26,Male,Philippines,Laie,regularly used,occasional traveler,2023-05-12 02:45:40,R_1Cw0ig8VRCkOkWU,-1.3262444089597,LOW,You are skeptical that AI tools genuinely improve task performance.,-0.4929041990592883,MODERATE,You find most apps usable but sometimes need time to learn.,0.1112910184103295,MODERATE,You sometimes try new technology when it seems relevant.,-0.1474790756775293,MODERATE,You have a neutral-to-positive attitude toward AI activities.,0.1719682184543334,MODERATE,You think current AI has reasonable but limited capability.
SYN_0002,H_0002,demo_plus_traits,18-21,Female,United States,Arizona,never used,occasional traveler,2023-05-23 01:05:07,R_2xQcMB2f4oYJ9nW,0.4653819993024935,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-0.6297925517616224,LOW,You find new technology interfaces difficult and frustrating.,0.6370145766405504,HIGH,You actively seek out and adopt useful new technology tools.,0.9257001514937956,HIGH,You feel enthusiastic and positive about AI-assisted activities.,-0.872522168388959,LOW,You doubt that current AI handles complex real-world tasks well.
SYN_0003,H_0003,demo_plus_traits,18-21,Female,United States,Oregon,never used,frequent traveler,2023-05-12 16:58:32,R_3qjnhilLK2uAibA,1.5101653238060315,HIGH,You strongly believe AI tools improve efficiency and outcomes.,-0.1346734407638144,MODERATE,You find most apps usable but sometimes need time to learn.,0.6278355449972447,HIGH,You actively seek out and adopt useful new technology tools.,-0.9000036999785185,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,0.5540466172736607,HIGH,You believe current AI is capable of complex information tasks.
SYN_0004,H_0004,demo_plus_traits,22-26,Female,French Polynesia,French Polynesia,never used,occasional traveler,2023-05-10 15:46:02,R_25z0ZDzvfWjqMwG,0.9757829709095196,HIGH,You strongly believe AI tools improve efficiency and outcomes.,0.1063360583072097,MODERATE,You find most apps usable but sometimes need time to learn.,0.5599753847192773,HIGH,You actively seek out and adopt useful new technology tools.,-0.6152542496699747,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,1.1359247788308915,HIGH,You believe current AI is capable of complex information tasks.
SYN_0005,H_0005,demo_plus_traits,22-26,Female,Kiribati,Kiribati,never used,occasional traveler,2023-05-23 02:48:52,R_3P6syR22Kcey7Xu,-0.3323712753063026,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-1.2598642158627589,LOW,You find new technology interfaces difficult and frustrating.,-1.2043861179602402,LOW,You rarely choose to adopt new digital tools in daily life.,-1.7143724869962802,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,-0.8641941835187504,LOW,You doubt that current AI handles complex real-world tasks well.
SYN_0006,H_0006,demo_plus_traits,18-21,Male,United States,Utah,regularly used,rarely travels,2023-05-10 17:35:49,R_3kfoX0ahjS31Ykh,0.2348537327911143,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-0.3473347037432826,MODERATE,You find most apps usable but sometimes need time to learn.,-0.4215011383200716,MODERATE,You sometimes try new technology when it seems relevant.,-0.553553524516597,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,0.8129900231729356,HIGH,You believe current AI is capable of complex information tasks.
SYN_0007,H_0007,demo_plus_traits,22-26,Female,Indonesia,Jakarta,regularly used,frequent traveler,2023-05-16 02:54:50,R_2zACCfHwrdeaUSj,1.1395738924557086,HIGH,You strongly believe AI tools improve efficiency and outcomes.,0.0332958144763418,MODERATE,You find most apps usable but sometimes need time to learn.,0.6032284751558982,HIGH,You actively seek out and adopt useful new technology tools.,1.164934016761097,HIGH,You feel enthusiastic and positive about AI-assisted activities.,-1.1479708080424829,LOW,You doubt that current AI handles complex real-world tasks well.
SYN_0008,H_0008,demo_plus_traits,22-26,Male,Philippines,Bacolod,occasionally used,occasional traveler,2023-05-19 12:04:00,R_3g5RB9tSvzlpVij,1.84001312751885,HIGH,You strongly believe AI tools improve efficiency and outcomes.,1.9453178835288307,HIGH,You pick up new technology quickly and find it intuitive.,0.2074006437711711,MODERATE,You sometimes try new technology when it seems relevant.,0.4874267080673205,MODERATE,You have a neutral-to-positive attitude toward AI activities.,-0.116173606481291,MODERATE,You think current AI has reasonable but limited capability.
SYN_0009,H_0009,demo_plus_traits,22-26,Female,United States,Laie,regularly used,occasional traveler,2023-05-21 21:05:24,R_1Q3qjH6UReWDwRD,-0.3905449613668415,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-0.4437406992423678,MODERATE,You find most apps usable but sometimes need time to learn.,0.0741531568296106,MODERATE,You sometimes try new technology when it seems relevant.,-1.350193472885451,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,-0.5661273872304237,LOW,You doubt that current AI handles complex real-world tasks well.
SYN_0010,H_0010,demo_plus_traits,22-26,Female,Tonga,Liahona,regularly used,frequent traveler,2023-05-19 01:37:04,R_1PRWDKnT3BsKVlf,0.3481019835636026,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-0.1244737633615725,MODERATE,You find most apps usable but sometimes need time to learn.,1.453026993743159,HIGH,You actively seek out and adopt useful new technology tools.,-0.1607585098132125,MODERATE,You have a neutral-to-positive attitude toward AI activities.,1.2114558499697734,HIGH,You believe current AI is capable of complex information tasks.
SYN_0011,H_0011,demo_plus_traits,22-26,Female,United States,Hawaii,occasionally used,occasional traveler,2023-05-23 02:31:22,R_3EG9i1nAwvJuGMB,-0.6192127550045495,LOW,You are skeptical that AI tools genuinely improve task performance.,0.3875276088028722,MODERATE,You find most apps usable but sometimes need time to learn.,-0.8897422026463546,LOW,You rarely choose to adopt new digital tools in daily life.,0.1342587984284177,MODERATE,You have a neutral-to-positive attitude toward AI activities.,-0.0925574917924847,MODERATE,You think current AI has reasonable but limited capability.
SYN_0012,H_0012,demo_plus_traits,22-26,Male,Tonga,Hateo,never used,rarely travels,2023-05-22 14:21:07,R_x2ZmfcNWUiMoe1b,-0.9618207517722434,LOW,You are skeptical that AI tools genuinely improve task performance.,-0.2925689126359101,MODERATE,You find most apps usable but sometimes need time to learn.,-1.4641932046627388,LOW,You rarely choose to adopt new digital tools in daily life.,-0.4605551668765165,MODERATE,You have a neutral-to-positive attitude toward AI activities.,-0.0667069908146658,MODERATE,You think current AI has reasonable but limited capability.
SYN_0013,H_0013,demo_plus_traits,22-26,Female,Mexico,Tamaulipas,regularly used,occasional traveler,2023-05-31 01:48:51,R_3J96aFTl4k5GMwm,1.1211693443671098,HIGH,You strongly believe AI tools improve efficiency and outcomes.,0.8827658368921351,HIGH,You pick up new technology quickly and find it intuitive.,-0.549392164218302,LOW,You rarely choose to adopt new digital tools in daily life.,0.3058932764143263,MODERATE,You have a neutral-to-positive attitude toward AI activities.,-0.0684128204763361,MODERATE,You think current AI has reasonable but limited capability.
SYN_0014,H_0014,demo_plus_traits,22-26,Female,United States,Utah,never used,frequent traveler,2023-05-24 03:31:51,R_pLSAGuDWzSoig5r,-1.3337326402647305,LOW,You are skeptical that AI tools genuinely improve task performance.,-1.5331786620617918,LOW,You find new technology interfaces difficult and frustrating.,-0.4651694211704383,MODERATE,You sometimes try new technology when it seems relevant.,-1.1420224363816998,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,-0.425066963325114,MODERATE,You think current AI has reasonable but limited capability.
SYN_0015,H_0015,demo_plus_traits,22-26,Male,United States,hawaii,regularly used,frequent traveler,2023-05-13 23:41:05,R_1Ol5Zn3xkLl71Ip,-1.1583263496396907,LOW,You are skeptical that AI tools genuinely improve task performance.,0.0102391393761593,MODERATE,You find most apps usable but sometimes need time to learn.,1.751812130134919,HIGH,You actively seek out and adopt useful new technology tools.,-0.937322860268454,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,-1.0112340444820032,LOW,You doubt that current AI handles complex real-world tasks well.
SYN_0016,H_0016,demo_plus_traits,22-26,Female,United States,California,occasionally used,rarely travels,2023-05-11 13:35:28,R_31z2mtF3mDTyTlZ,-0.6804377025416336,LOW,You are skeptical that AI tools genuinely improve task performance.,-0.2748794973799187,MODERATE,You find most apps usable but sometimes need time to learn.,0.2327076096712702,MODERATE,You sometimes try new technology when it seems relevant.,-1.6593839765383902,LOW,You feel somewhat uncomfortable or skeptical about AI activities.,-0.5316477304787139,LOW,You doubt that current AI handles complex real-world tasks well.
SYN_0017,H_0017,demo_plus_traits,22-26,Female,United States,California,regularly used,occasional traveler,2023-05-24 12:18:25,R_1E4iQUJU9YsMa0b,0.4488381555564168,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-1.0154105388611403,LOW,You find new technology interfaces difficult and frustrating.,0.9078664015974536,HIGH,You actively seek out and adopt useful new technology tools.,0.0638768381017437,MODERATE,You have a neutral-to-positive attitude toward AI activities.,0.2704507507328484,MODERATE,You think current AI has reasonable but limited capability.
SYN_0018,H_0018,demo_plus_traits,22-26,Male,Philippines,Marikina City,never used,rarely travels,2023-05-30 01:00:03,R_1Fy63t9o5WJ5fhx,0.7186855563457155,HIGH,You strongly believe AI tools improve efficiency and outcomes.,-0.0905854778240108,MODERATE,You find most apps usable but sometimes need time to learn.,0.4829211572535137,MODERATE,You sometimes try new technology when it seems relevant.,0.855222922824223,HIGH,You feel enthusiastic and positive about AI-assisted activities.,-0.3546607337380578,MODERATE,You think current AI has reasonable but limited capability.
SYN_0019,H_0019,demo_plus_traits,18-21,Female,United States,Hawaii,regularly used,rarely travels,2023-05-19 16:41:26,R_3rI1Hpphg9RUpYd,0.1646987687411315,MODERATE,You think AI tools can be somewhat useful for certain tasks.,0.3018972616996458,MODERATE,You find most apps usable but sometimes need time to learn.,0.244749564189985,MODERATE,You sometimes try new technology when it seems relevant.,-0.2240736266794615,MODERATE,You have a neutral-to-positive attitude toward AI activities.,-0.9747644725361688,LOW,You doubt that current AI handles complex real-world tasks well.
SYN_0020,H_0020,demo_plus_traits,18-21,Female,United States,Oregon,occasionally used,rarely travels,2023-05-23 01:06:40,R_eS9PVBgpYVR5Gq5,1.1723243549135378,HIGH,You strongly believe AI tools improve efficiency and outcomes.,0.7732556031175907,HIGH,You pick up new technology quickly and find it intuitive.,1.3837037718197431,HIGH,You actively seek out and adopt useful new technology tools.,1.1599661603009213,HIGH,You feel enthusiastic and positive about AI-assisted activities.,0.774450604277384,HIGH,You believe current AI is capable of complex information tasks.
SYN_0021,H_0021,demo_plus_traits,59-64,Female,United States,Utah,never used,rarely travels,2023-05-11 21:22:48,R_277LHiG0VCqsZnH,1.6191077967510137,HIGH,You strongly believe AI tools improve efficiency and outcomes.,1.082025493384192,HIGH,You pick up new technology quickly and find it intuitive.,0.7475444515991154,HIGH,You actively seek out and adopt useful new technology tools.,0.7163403521782372,HIGH,You feel enthusiastic and positive about AI-assisted activities.,0.9936099696539036,HIGH,You believe current AI is capable of complex information tasks.
SYN_0022,H_0022,demo_plus_traits,22-26,Male,South Korea,Pyeongtaek-si,never used,occasional traveler,2023-05-27 21:15:47,R_3PFdVJQN2NYr4OL,-0.4454226408284407,MODERATE,You think AI tools can be somewhat useful for certain tasks.,-0.5080482463704531,LOW,You find new technology interfaces difficult and frustrating.,0.5407259518942159,HIGH,You actively seek out and adopt useful new technology tools.,0.2024708567427305,MODERATE,You have a neutral-to-positive attitude toward AI activities.,-1.530987840300079,LOW,You doubt that current AI handles complex real-world tasks well.
SYN_0023,H_0023,demo_plus_traits,37-42,Female,Canada,Alberta,occasionally used,occasional traveler,2023-05-18 11:08:26,R_6lExVTDCPCJb63T,0.0785902024788398,MODERATE,You think AI tools can be somewhat useful for certain tasks.,1.7058816090850153,HIGH,You pick up new technology quickly and find it intuitive.,1.997129199232736,HIGH,You actively seek out and adopt useful new technology tools.,1.84481954352709,HIGH,You feel enthusiastic and positive about AI-assisted activities.,1.5288119507716922,HIGH,You believe current AI is capable of complex information tasks.
