synthetic_id,model,reasoning,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q4_7,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q5_7,q5_8,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q9_1,q9_2,q9_3,q10_1,q10_2,q10_3,q10_4
SYN_0001,claude,"I use ChatGPT regularly but I'm skeptical it genuinely improves outcomes for travel planning — I find it okay to use but I don't trust the information it gives, especially for prices and real-time details. So I'm moderate on intention and ease, but low on perceived usefulness.",3,3,3,2,2,2,3,3,3,2,2,2,2,2,3,4,3,4,3,3,1,3,2,2,3,2,2,3
SYN_0002,claude,"I've never used ChatGPT before and find new tech frustrating to learn, but I'm genuinely enthusiastic about AI and actively seek out useful tools. However, I doubt AI handles complex real-world tasks like actual travel planning very well, so I'm torn between excitement and skepticism.",4,4,4,3,3,2,3,3,3,2,2,3,2,2,3,2,2,2,2,2,4,3,2,2,4,3,3,3
SYN_0003,claude,"I travel a lot and I do think AI tools can be efficient and capable, but I've never used ChatGPT and I feel uncomfortable relying on AI for personal decisions. I'm open to trying it but remain skeptical about trusting it fully for travel planning.",3,3,4,3,3,2,3,4,4,3,3,4,4,3,4,3,3,3,3,3,3,4,4,3,3,3,2,2
SYN_0004,claude,"I believe AI tools can be efficient and capable, but I feel somewhat uncomfortable with AI in general and have never used ChatGPT, so I'm uncertain about ease of use. I'm open to trying it given my high behavioral intention, but my skepticism about AI keeps my enthusiasm moderate on attitude-related items.",4,3,4,3,3,2,3,4,4,4,4,4,4,3,4,3,2,2,3,2,3,4,4,3,3,2,2,2
SYN_0005,claude,"I've never used ChatGPT and I'm skeptical about AI tools generally. Technology feels frustrating and hard to learn, and I doubt AI handles complex real-world tasks like travel planning very well.",2,2,2,2,2,1,2,3,3,2,2,2,2,2,2,2,2,1,2,2,4,2,2,2,2,2,1,1
SYN_0006,claude,"I rarely travel and feel somewhat skeptical about AI, though I know ChatGPT is capable. I'd use it occasionally but don't get excited about it for travel planning specifically.",3,3,3,2,2,2,2,4,4,3,3,3,3,2,3,4,3,4,3,3,1,4,3,3,3,2,2,2
SYN_0007,claude,"I use ChatGPT regularly and find it genuinely useful for speeding up research and planning, but I'm skeptical it handles complex real-world travel tasks like real-time pricing or nuanced local advice very well. So I'm enthusiastic about its efficiency benefits but cautious about its accuracy and capability claims.",5,5,5,3,4,3,4,5,5,4,4,5,4,2,4,4,4,4,3,3,1,3,2,2,5,4,3,5
SYN_0008,claude,"I find ChatGPT genuinely useful for speeding up research and planning, and I pick up new tech easily, but I only travel occasionally and have moderate intention to actually use AI tools regularly. I think AI is capable but not perfect, especially for real-time or highly accurate info.",4,3,4,3,3,3,3,4,4,4,4,4,3,3,4,4,4,5,4,4,1,4,3,3,4,3,3,4
SYN_0009,claude,I've used ChatGPT before but I'm skeptical about how well AI actually handles nuanced travel planning — things like real-time prices or local knowledge feel unreliable to me. I'm moderately open to trying it but not convinced it's better than just googling or asking friends.,3,3,3,2,2,2,2,3,3,2,2,3,2,2,3,3,3,4,3,3,1,3,2,2,3,2,2,3
SYN_0010,claude,"I use ChatGPT regularly and travel frequently, so I see real value in using it for travel planning, though I'm aware of its limitations with real-time info like prices and availability. My attitude is moderately positive and I'm quite open to adopting useful tech tools.",4,4,5,3,3,3,4,4,4,3,3,4,4,3,4,4,3,4,4,3,2,4,3,3,4,3,3,4
