model,q_id,js_pt_vs_do
gpt4,q4_1,0.1644200894128193
gpt4,q4_2,0.15137543516379706
gpt4,q4_3,0.053304996028035866
gpt4,q4_4,0.1731251062570742
gpt4,q4_5,0.21632966334022524
gpt4,q4_6,0.2037828995308084
gpt4,q4_7,0.20032301121201163
gpt4,q5_1,0.24860866423510672
gpt4,q5_2,0.23801681130277283
gpt4,q5_3,0.2631829423502962
gpt4,q5_4,0.2620133758000939
gpt4,q5_5,0.2486718646513983
gpt4,q5_6,0.247671589415558
gpt4,q5_7,0.2496081326854138
gpt4,q5_8,0.2005364533240133
gpt4,q7_1,0.29906101076343367
gpt4,q7_2,0.41142194793521286
gpt4,q7_3,0.3874514408908605
gpt4,q7_4,0.31505653772103914
gpt4,q7_5,0.34708498022591033
gpt4,q7_6,0.3306340492837814
gpt4,q9_1,0.19887750847297628
gpt4,q9_2,0.21149263884984462
gpt4,q9_3,0.2766946756993846
gpt4,q10_1,0.1641545369354959
gpt4,q10_2,0.20565416379237686
gpt4,q10_3,0.19377868748913055
gpt4,q10_4,0.14846334919162713
claude,q4_1,0.13919260935131214
claude,q4_2,0.12067336000799152
claude,q4_3,0.14112520486476543
claude,q4_4,0.13994730529587918
claude,q4_5,0.17399825004633956
claude,q4_6,0.2822049698228431
claude,q4_7,0.15371384594636894
claude,q5_1,0.23561265408167784
claude,q5_2,0.16896587198301988
claude,q5_3,0.15656979580338115
claude,q5_4,0.1550498827571999
claude,q5_5,0.4148450552174104
claude,q5_6,0.15765631366014324
claude,q5_7,0.27713706055109033
claude,q5_8,0.21534295708816045
claude,q7_1,0.1444745712391983
claude,q7_2,0.22687396585453612
claude,q7_3,0.1789733714380175
claude,q7_4,0.04627303021874221
claude,q7_5,0.09285786952875368
claude,q7_6,0.15543219258310376
claude,q9_1,0.31776555626153263
claude,q9_2,0.3545386873127293
claude,q9_3,0.27149267908981617
claude,q10_1,0.19934387152253374
claude,q10_2,0.19596684976521195
claude,q10_3,0.23642992852630576
claude,q10_4,0.15050443979806852
