group_dim,group_label,q_id,p1,p2,p3,p4,p5,n
age,18-26,q4_1,0.04342105263157895,0.0868421052631579,0.1881578947368421,0.3684210526315789,0.3131578947368421,760
age,18-26,q4_2,0.05131578947368421,0.08421052631578947,0.15526315789473685,0.3592105263157895,0.35,760
age,18-26,q4_3,0.038157894736842106,0.075,0.18421052631578946,0.3828947368421053,0.31973684210526315,760
age,18-26,q4_4,0.05131578947368421,0.08289473684210526,0.2,0.3868421052631579,0.2789473684210526,760
age,18-26,q4_5,0.04473684210526316,0.0881578947368421,0.18289473684210528,0.40131578947368424,0.28289473684210525,760
age,18-26,q4_6,0.05,0.07368421052631578,0.1868421052631579,0.3592105263157895,0.33026315789473687,760
age,18-26,q4_7,0.038157894736842106,0.07763157894736843,0.18157894736842106,0.3828947368421053,0.31973684210526315,760
age,18-26,q5_1,0.04342105263157895,0.0868421052631579,0.16710526315789473,0.38421052631578945,0.31842105263157894,760
age,18-26,q5_2,0.034210526315789476,0.09210526315789473,0.17763157894736842,0.36973684210526314,0.3263157894736842,760
age,18-26,q5_3,0.04473684210526316,0.07368421052631578,0.19078947368421054,0.35526315789473684,0.3355263157894737,760
age,18-26,q5_4,0.042105263157894736,0.08552631578947369,0.18421052631578946,0.38026315789473686,0.3078947368421053,760
age,18-26,q5_5,0.034210526315789476,0.08552631578947369,0.2026315789473684,0.3671052631578947,0.3105263157894737,760
age,18-26,q5_6,0.046052631578947366,0.08289473684210526,0.15263157894736842,0.3973684210526316,0.32105263157894737,760
age,18-26,q5_7,0.04868421052631579,0.09342105263157895,0.18026315789473685,0.3868421052631579,0.29078947368421054,760
age,18-26,q5_8,0.038157894736842106,0.09078947368421053,0.18157894736842106,0.36973684210526314,0.31973684210526315,760
age,18-26,q7_1,0.038157894736842106,0.09473684210526316,0.17894736842105263,0.3763157894736842,0.3118421052631579,760
age,18-26,q7_2,0.046052631578947366,0.08947368421052632,0.16447368421052633,0.38026315789473686,0.31973684210526315,760
age,18-26,q7_3,0.04736842105263158,0.0868421052631579,0.1881578947368421,0.3394736842105263,0.3381578947368421,760
age,18-26,q7_4,0.06315789473684211,0.06578947368421052,0.14868421052631578,0.3763157894736842,0.3460526315789474,760
age,18-26,q7_5,0.034210526315789476,0.07105263157894737,0.18552631578947368,0.35,0.3592105263157895,760
age,18-26,q7_6,0.035526315789473684,0.06315789473684211,0.18289473684210528,0.38552631578947366,0.33289473684210524,760
age,18-26,q9_1,0.046052631578947366,0.07894736842105263,0.2026315789473684,0.3592105263157895,0.3131578947368421,760
age,18-26,q9_2,0.05263157894736842,0.08947368421052632,0.18552631578947368,0.3684210526315789,0.30394736842105263,760
age,18-26,q9_3,0.04868421052631579,0.09210526315789473,0.16842105263157894,0.3618421052631579,0.32894736842105265,760
age,18-26,q10_1,0.04078947368421053,0.07368421052631578,0.16710526315789473,0.4039473684210526,0.3144736842105263,760
age,18-26,q10_2,0.03684210526315789,0.08947368421052632,0.15526315789473685,0.3815789473684211,0.3368421052631579,760
age,18-26,q10_3,0.04342105263157895,0.0868421052631579,0.1763157894736842,0.3618421052631579,0.33157894736842103,760
age,18-26,q10_4,0.02368421052631579,0.0868421052631579,0.1618421052631579,0.4118421052631579,0.3157894736842105,760
age,27plus,q4_1,0.03728813559322034,0.08135593220338982,0.1694915254237288,0.3898305084745763,0.3220338983050847,295
age,27plus,q4_2,0.020338983050847456,0.0847457627118644,0.20677966101694914,0.33220338983050846,0.3559322033898305,295
age,27plus,q4_3,0.023728813559322035,0.0847457627118644,0.16271186440677965,0.3728813559322034,0.3559322033898305,295
age,27plus,q4_4,0.02711864406779661,0.061016949152542375,0.17627118644067796,0.4067796610169492,0.3288135593220339,295
age,27plus,q4_5,0.05084745762711865,0.05084745762711865,0.21694915254237288,0.376271186440678,0.3050847457627119,295
age,27plus,q4_6,0.03389830508474576,0.09830508474576272,0.17966101694915254,0.36610169491525424,0.3220338983050847,295
age,27plus,q4_7,0.030508474576271188,0.09830508474576272,0.1864406779661017,0.4067796610169492,0.27796610169491526,295
age,27plus,q5_1,0.08813559322033898,0.09830508474576272,0.11864406779661017,0.4406779661016949,0.2542372881355932,295
age,27plus,q5_2,0.04067796610169491,0.0847457627118644,0.22372881355932203,0.3050847457627119,0.34576271186440677,295
age,27plus,q5_3,0.04745762711864407,0.0576271186440678,0.1694915254237288,0.4271186440677966,0.2983050847457627,295
age,27plus,q5_4,0.05084745762711865,0.0711864406779661,0.2135593220338983,0.3694915254237288,0.29491525423728815,295
age,27plus,q5_5,0.0576271186440678,0.08813559322033898,0.17288135593220338,0.3593220338983051,0.3220338983050847,295
age,27plus,q5_6,0.04406779661016949,0.07796610169491526,0.2,0.376271186440678,0.3016949152542373,295
age,27plus,q5_7,0.04406779661016949,0.08135593220338982,0.1694915254237288,0.4033898305084746,0.3016949152542373,295
age,27plus,q5_8,0.020338983050847456,0.10508474576271186,0.17288135593220338,0.423728813559322,0.27796610169491526,295
age,27plus,q7_1,0.03389830508474576,0.0847457627118644,0.16610169491525423,0.36610169491525424,0.34915254237288135,295
age,27plus,q7_2,0.05423728813559322,0.06779661016949153,0.17966101694915254,0.3864406779661017,0.31186440677966104,295
age,27plus,q7_3,0.05084745762711865,0.09830508474576272,0.1694915254237288,0.3525423728813559,0.3288135593220339,295
age,27plus,q7_4,0.03389830508474576,0.07796610169491526,0.19661016949152543,0.376271186440678,0.3152542372881356,295
age,27plus,q7_5,0.05084745762711865,0.09491525423728814,0.17627118644067796,0.36271186440677966,0.3152542372881356,295
age,27plus,q7_6,0.05423728813559322,0.06779661016949153,0.2,0.4033898305084746,0.2745762711864407,295
age,27plus,q9_1,0.04406779661016949,0.06440677966101695,0.1864406779661017,0.423728813559322,0.28135593220338984,295
age,27plus,q9_2,0.04406779661016949,0.06440677966101695,0.19661016949152543,0.3694915254237288,0.3254237288135593,295
age,27plus,q9_3,0.03728813559322034,0.08813559322033898,0.15932203389830507,0.38305084745762713,0.33220338983050846,295
age,27plus,q10_1,0.04406779661016949,0.0847457627118644,0.1694915254237288,0.39661016949152544,0.3050847457627119,295
age,27plus,q10_2,0.03728813559322034,0.1288135593220339,0.16610169491525423,0.38305084745762713,0.2847457627118644,295
age,27plus,q10_3,0.030508474576271188,0.10847457627118644,0.18305084745762712,0.38305084745762713,0.29491525423728815,295
age,27plus,q10_4,0.0576271186440678,0.0576271186440678,0.22033898305084745,0.3728813559322034,0.29152542372881357,295
sex,Female,q4_1,0.042483660130718956,0.08496732026143791,0.19281045751633988,0.3627450980392157,0.31699346405228757,612
sex,Female,q4_2,0.04411764705882353,0.08169934640522876,0.17483660130718953,0.3382352941176471,0.3611111111111111,612
sex,Female,q4_3,0.03431372549019608,0.08986928104575163,0.17647058823529413,0.38235294117647056,0.31699346405228757,612
sex,Female,q4_4,0.04738562091503268,0.06045751633986928,0.19281045751633988,0.39215686274509803,0.30718954248366015,612
sex,Female,q4_5,0.04738562091503268,0.08986928104575163,0.19444444444444445,0.380718954248366,0.2875816993464052,612
sex,Female,q4_6,0.042483660130718956,0.07516339869281045,0.19444444444444445,0.36764705882352944,0.3202614379084967,612
sex,Female,q4_7,0.042483660130718956,0.07026143790849673,0.1715686274509804,0.39215686274509803,0.3235294117647059,612
sex,Female,q5_1,0.05555555555555555,0.08823529411764706,0.15196078431372548,0.3888888888888889,0.315359477124183,612
sex,Female,q5_2,0.03431372549019608,0.0718954248366013,0.19117647058823528,0.35130718954248363,0.35130718954248363,612
sex,Female,q5_3,0.0457516339869281,0.0784313725490196,0.18790849673202614,0.369281045751634,0.31862745098039214,612
sex,Female,q5_4,0.04084967320261438,0.07352941176470588,0.17483660130718953,0.39869281045751637,0.31209150326797386,612
sex,Female,q5_5,0.03594771241830065,0.09640522875816994,0.19281045751633988,0.3349673202614379,0.33986928104575165,612
sex,Female,q5_6,0.032679738562091505,0.08006535947712418,0.14705882352941177,0.3937908496732026,0.3464052287581699,612
sex,Female,q5_7,0.0457516339869281,0.09477124183006536,0.16666666666666666,0.38235294117647056,0.3104575163398693,612
sex,Female,q5_8,0.042483660130718956,0.10620915032679738,0.19281045751633988,0.3464052287581699,0.31209150326797386,612
sex,Female,q7_1,0.04084967320261438,0.09967320261437909,0.16830065359477125,0.3660130718954248,0.32516339869281047,612
sex,Female,q7_2,0.0457516339869281,0.08823529411764706,0.16013071895424835,0.3872549019607843,0.31862745098039214,612
sex,Female,q7_3,0.04738562091503268,0.0915032679738562,0.18790849673202614,0.3333333333333333,0.33986928104575165,612
sex,Female,q7_4,0.049019607843137254,0.06862745098039216,0.16830065359477125,0.3790849673202614,0.3349673202614379,612
sex,Female,q7_5,0.03594771241830065,0.06862745098039216,0.19281045751633988,0.3562091503267974,0.3464052287581699,612
sex,Female,q7_6,0.04084967320261438,0.07026143790849673,0.1830065359477124,0.3758169934640523,0.3300653594771242,612
sex,Female,q9_1,0.04411764705882353,0.05718954248366013,0.2042483660130719,0.39215686274509803,0.3022875816993464,612
sex,Female,q9_2,0.04738562091503268,0.08333333333333333,0.19444444444444445,0.3333333333333333,0.3415032679738562,612
sex,Female,q9_3,0.04411764705882353,0.09477124183006536,0.16013071895424835,0.3741830065359477,0.32679738562091504,612
