RecordedDate,ResponseId,age,sex,country,city,source_human_id
2023-05-12 02:45:40,R_1Cw0ig8VRCkOkWU,22-26,Male,Philippines,Laie,H_0001
2023-05-23 01:05:07,R_2xQcMB2f4oYJ9nW,18-21,Female,United States,Arizona,H_0002
2023-05-12 16:58:32,R_3qjnhilLK2uAibA,18-21,Female,United States,Oregon,H_0003
2023-05-10 15:46:02,R_25z0ZDzvfWjqMwG,22-26,Female,French Polynesia,French Polynesia,H_0004
2023-05-23 02:48:52,R_3P6syR22Kcey7Xu,22-26,Female,Kiribati,Kiribati,H_0005
2023-05-10 17:35:49,R_3kfoX0ahjS31Ykh,18-21,Male,United States,Utah,H_0006
2023-05-16 02:54:50,R_2zACCfHwrdeaUSj,22-26,Female,Indonesia,Jakarta,H_0007
2023-05-19 12:04:00,R_3g5RB9tSvzlpVij,22-26,Male,Philippines,Bacolod,H_0008
2023-05-21 21:05:24,R_1Q3qjH6UReWDwRD,22-26,Female,United States,Laie,H_0009
2023-05-19 01:37:04,R_1PRWDKnT3BsKVlf,22-26,Female,Tonga,Liahona,H_0010
2023-05-23 02:31:22,R_3EG9i1nAwvJuGMB,22-26,Female,United States,Hawaii,H_0011
2023-05-22 14:21:07,R_x2ZmfcNWUiMoe1b,22-26,Male,Tonga,Hateo,H_0012
2023-05-31 01:48:51,R_3J96aFTl4k5GMwm,22-26,Female,Mexico,Tamaulipas,H_0013
2023-05-24 03:31:51,R_pLSAGuDWzSoig5r,22-26,Female,United States,Utah,H_0014
2023-05-13 23:41:05,R_1Ol5Zn3xkLl71Ip,22-26,Male,United States,hawaii,H_0015
2023-05-11 13:35:28,R_31z2mtF3mDTyTlZ,22-26,Female,United States,California,H_0016
2023-05-24 12:18:25,R_1E4iQUJU9YsMa0b,22-26,Female,United States,California,H_0017
2023-05-30 01:00:03,R_1Fy63t9o5WJ5fhx,22-26,Male,Philippines,Marikina City,H_0018
2023-05-19 16:41:26,R_3rI1Hpphg9RUpYd,18-21,Female,United States,Hawaii,H_0019
2023-05-23 01:06:40,R_eS9PVBgpYVR5Gq5,18-21,Female,United States,Oregon,H_0020
2023-05-11 21:22:48,R_277LHiG0VCqsZnH,59-64,Female,United States,Utah,H_0021
2023-05-27 21:15:47,R_3PFdVJQN2NYr4OL,22-26,Male,South Korea,Pyeongtaek-si,H_0022
2023-05-18 11:08:26,R_6lExVTDCPCJb63T,37-42,Female,Canada,Alberta,H_0023
2023-05-23 12:18:11,R_3iw2Jazc9tw7XhR,18-21,Female,United States,Las Vegas,H_0024
2023-05-23 00:36:56,R_2BgNRXfauy73Jc7,22-26,Male,Taiwan,Taichung City,H_0025
2023-05-20 18:21:09,R_1H6xdzOCymCoYAH,50-58,Female,United States,Virginia,H_0026
2023-05-10 12:05:22,R_3G8LrTgQN6YN6Dz,22-26,Female,United States,"Logan, UT",H_0027
2023-05-11 16:39:09,R_WDusaFYOmS92cp3,22-26,Female,Philippines,Bacolod,H_0028
2023-05-18 11:19:05,R_3DtGLS8PfHfUXwk,22-26,Female,United States,Ohio,H_0029
2023-05-22 22:16:58,R_3EFpshOooeFFmGv,27-31,Female,United States,Hawaii,H_0030
2023-05-12 13:37:03,R_3n2ya5SIzZtqZLV,22-26,Female,Japan,Miyagi,H_0031
2023-05-12 23:02:44,R_9EkJSiPH0k7dL33,22-26,Male,Samoa,Aleisa,H_0032
2023-05-22 12:15:27,R_5iDfPQXmAlajW93,18-21,Female,United States,Florida,H_0033
2023-05-11 23:30:21,R_3G0NiWGuIl8kYNl,22-26,Female,United States,Utah,H_0034
2023-05-11 04:14:54,R_1ibwd4LxCKADzfo,27-31,Male,United States,"Morgantown, WV",H_0035
2023-05-11 23:13:41,R_vwCQNMMxhREVa6d,22-26,Male,Tonga,Fo'ui,H_0036
2023-05-20 19:04:39,R_1IsG4CrIGjPUyLJ,18-21,Male,United States,Hawaii,H_0037
2023-05-22 16:52:24,R_3CHnt8aEIbFuOBZ,18-21,Male,Brazil,Sao Paulo,H_0038
2023-05-22 13:26:16,R_1ISeKIjs4OyAuJl,27-31,Female,United States,Utah,H_0039
2023-05-11 02:14:07,R_3NBSXcbaqK1ZgvT,22-26,Male,Thailand,Bangkok,H_0040
2023-05-22 15:16:32,R_2XarcXAHjReKbrr,22-26,Female,Fiji,Suva,H_0041
2023-05-23 03:17:58,R_1rB9i7cSSVn0xKT,18-21,Male,Japan,Okinawa,H_0042
2023-05-23 03:08:04,R_VW2hotTBQzECxY5,22-26,Female,Kiribati,Tarawa,H_0043
2023-05-12 20:01:09,R_yyYe69rpw99Vhxn,22-26,Female,Tonga,Nuku'alofa,H_0044
2023-05-24 15:37:04,R_28RFhjzEK2Grntj,18-21,Female,United States,Utah,H_0045
2023-05-23 14:22:05,R_10Mo3uVNt9Ikzf3,59-64,Female,United States,NorCal,H_0046
2023-05-20 19:11:08,R_cUYD9VgFSGS9Z2V,22-26,Female,United States,California,H_0047
2023-05-22 09:59:18,R_2P5AnuYXQ0QUhrH,18-21,Male,United States,Utah,H_0048
2023-05-10 22:50:18,R_2RaIi523eUjgmZY,22-26,Female,United States,Utah,H_0049
2023-05-15 14:44:29,R_2XnXDt98a19RWXJ,18-21,Female,New Zealand,Hastings,H_0050
2023-05-18 17:55:44,R_enRSgcR02UGSEqB,22-26,Female,Kiribati,Tarawa,H_0051
2023-05-11 00:25:51,R_1q8lxbie5mVHVkG,22-26,Female,Philippines,Gensan City,H_0052
2023-05-08 09:17:07,R_qJWbiR24p7Iwi0p,18-21,Male,United States,Utah,H_0053
2023-05-11 23:02:48,R_0H8TSs6sYyyBvhL,18-21,Male,Fiji,Suva,H_0054
2023-05-12 13:40:40,R_1rxMmFc33MGKtFM,27-31,Female,United States,"Mesa, AZ",H_0055
2023-05-17 23:25:41,R_1Lo2ktxcVDmz4qL,32-36,Male,United States,Utah,H_0056
2023-05-17 13:30:10,R_OkC9FH2cCbB5V5v,22-26,Female,United States,UT,H_0057
2023-05-11 12:12:02,R_etAQ3cqGq1iWa6R,50-58,Female,United States,Idaho,H_0058
2023-05-10 02:04:36,R_1QFpBxKjYqXznri,27-31,Female,Mongolia,Ulaanbaatar,H_0059
2023-05-22 04:11:04,R_pt86IlTqA2vy6Z3,27-31,Female,Japan,Yamaguchi,H_0060
2023-05-22 12:44:51,R_1eL64UiS2V1NSLy,22-26,Male,Kiribati,Tarawa,H_0061
2023-05-23 02:26:45,R_vDmSAHovQrDrlHb,27-31,Female,Kiribati,Tarawa,H_0062
2023-05-11 06:41:45,R_1LdGGTGxBGD8P6X,43-49,Female,United States,Utah,H_0063
2023-05-26 21:38:22,R_28RS33yu8mgeeQf,18-21,Female,Mexico,Nuevo León,H_0064
2023-05-23 00:55:42,R_2X08EaB1Pqi4kLC,22-26,Male,Philippines,Santiago City,H_0065
2023-05-14 00:25:03,R_D91GvnH2zoZ9ggp,22-26,Female,Malaysia,Sarawak,H_0066
2023-05-15 23:27:37,R_3D1nkWcfoCfJLIo,22-26,Female,Philippines,Cebu,H_0067
2023-05-19 02:25:58,R_50wWa1xxWS5Baox,18-21,Male,Philippines,Tacloban City,H_0068
2023-05-20 12:13:47,R_2AMx6wBwIJ5VWdZ,18-21,Female,United States,Oregon,H_0069
2023-05-20 18:51:19,R_3EmdSrWGCYtSS6O,43-49,Female,United States,NC,H_0070
2023-05-22 12:54:17,R_w5VUUMNXPmGzYeB,59-64,Female,United States,Colorado,H_0071
2023-05-19 17:27:36,R_eaBYOpyaOKW1P9L,22-26,Female,Kiribati,Tarawa,H_0072
2023-05-12 03:10:42,R_vvKhS3hKfl7yVFL,22-26,Female,Kiribati,Butaritari,H_0073
2023-05-08 08:49:00,R_2aFC5W8pUo0sWFZ,50-58,Female,United States,Washington,H_0074
2023-05-24 03:26:43,R_3IWC7bqXLdA1gsG,27-31,Male,Fiji,Laie,H_0075
2023-05-18 02:14:29,R_22z6mGDpUmV3KrA,27-31,Female,Mongolia,Selenge Province,H_0076
2023-05-10 12:36:46,R_24bDxwel0cbEAKE,59-64,Female,United States,"Salt Lake City, Utah",H_0077
2023-05-12 03:39:10,R_2ay7OaqXSyzWe3F,22-26,Female,Tonga,Nuku’alofa,H_0078
2023-05-21 10:27:59,R_3KAW5woHIypkZdz,22-26,Female,Mexico,Mexico city,H_0079
2023-05-19 14:09:41,R_3I6eYhAINVdUrZv,22-26,Male,United States,"Magna, utah",H_0080
2023-05-23 09:50:37,R_RCdTxy6uSeuGhwJ,27-31,Female,Philippines,Davao City,H_0081
2023-05-10 22:58:31,R_pKQSWbwnT8bbtyV,22-26,Male,United States,Colorado,H_0082
2023-05-11 16:43:14,R_2B8v1eE48HNE1D3,22-26,Female,United States,Hawaii,H_0083
2023-05-29 22:57:26,R_2dShgNuPYmQ5lBG,22-26,Male,Philippines,Tarlac City,H_0084
2023-05-17 14:30:39,R_3p2MFEIv7dh7SdN,18-21,Female,French Polynesia,Mahaena,H_0085
2023-05-11 22:45:32,R_TbIq6LujHwY67iV,18-21,Female,Japan,Kannonnji,H_0086
2023-05-18 01:30:49,R_2rrbujZ73DvtURd,22-26,Male,United States,California,H_0087
2023-05-30 09:42:52,R_2PbASsRJMYvaZ4i,27-31,Female,United States,California,H_0088
2023-05-20 20:10:17,R_2SAJ0jPX87tIA9j,22-26,Male,United States,Virginia,H_0089
2023-05-11 20:12:05,R_1eY2bETdIbI8086,22-26,Male,Philippines,General Santos City,H_0090
2023-05-28 02:19:40,R_OJXdHdIWVuHqnMB,18-21,Male,United States,California,H_0091
2023-05-25 06:49:04,R_2sYYmSMdUZllWMz,22-26,Male,Philippines,Malasiqui,H_0092
2023-05-10 15:13:05,R_3CI19fx3gLguhSa,59-64,Female,New Zealand,Paihia,H_0093
2023-05-12 05:31:26,R_1f9pNYthbPtIiSZ,37-42,Male,Philippines,Cavite city,H_0094
2023-05-23 03:07:46,R_AdmNw4MqvAgyNPP,27-31,Male,United States,Maryland,H_0095
2023-05-11 01:13:58,R_1QsVHT8sebm0Xrc,22-26,Male,Japan,Saitama,H_0096
2023-05-10 12:45:48,R_eRrPxXKFdFAFpex,22-26,Female,French Polynesia,French Polynesia,H_0097
2023-05-22 23:42:48,R_264iBUu7OvRyVuL,22-26,Female,China,Hebei,H_0098
2023-05-23 17:42:33,R_1pLvhXPjDkfwBsv,32-36,Male,Mexico,Veracruz,H_0099
2023-05-23 02:02:45,R_2c5xUpdb7ECdayj,18-21,Female,United States,AZ,H_0100
2023-05-23 01:21:08,R_2dux15uokOdx9Kh,22-26,Female,United States,NY,H_0101
2023-05-22 22:55:49,R_2OZJo166ghC6fKK,22-26,Female,United States,Idaho,H_0102
2023-05-12 14:07:28,R_2fJXocyCO28nsMb,22-26,Male,Philippines,Davao City,H_0103
2023-05-10 01:22:05,R_DkjsPDt35SKPXON,22-26,Female,Tonga,Nuku’alofa,H_0104
2023-05-14 22:46:34,R_2dnZiDVPl6Vm3Sa,22-26,Male,India,New Delhi,H_0105
2023-05-22 22:25:50,R_1mK3gcIiDwT4s7y,22-26,Female,Vietnam,Dong Xoai,H_0106
2023-05-16 16:15:13,R_WCNbMRjQBn703DP,22-26,Female,Philippines,Ramon,H_0107
2023-05-17 03:29:53,R_1qgQLQ90JdSK4No,22-26,Female,Philippines,Manila,H_0108
2023-05-28 03:46:02,R_ewU1poATnAOPq7v,22-26,Male,Malaysia,Kuala Lumpur,H_0109
2023-05-31 20:47:21,R_2afzas5rsEiOihV,22-26,Female,Canada,Raymond Alberta,H_0110
2023-05-13 02:59:23,R_10BKVjqYL53RGfV,22-26,Female,Philippines,Santiago City,H_0111
2023-05-12 23:21:18,R_6X6fV09nuvbnpJv,18-21,Female,United States,Washington,H_0112
2023-05-20 23:03:16,R_3lJlwhMCjisZLj9,43-49,Female,United States,Utah,H_0113
2023-05-10 12:33:42,R_2zjA1dCZBdvAS7s,22-26,Male,United States,Idaho,H_0114
2023-05-10 15:50:14,R_1k0P54Fkv9vGPhG,18-21,Male,United States,Utah,H_0115
2023-05-18 11:42:43,R_1kMLIg4WlB2vI9O,22-26,Female,United States,Wyoming,H_0116
2023-05-19 16:59:29,R_XvlYDUwNbi0E7Qd,18-21,Male,Mexico,Cedar Park,H_0117
2023-05-11 02:35:36,R_2q4514DEtzOqJ4t,22-26,Female,Papua New Guinea,Madang,H_0118
2023-05-18 17:07:26,R_22xXhYh4VZCpI55,59-64,Female,United States,CA,H_0119
2023-05-21 06:27:53,R_33sExBADJaofuv4,43-49,Female,United States,Texas,H_0120
2023-05-20 19:04:59,R_3R2u8tkirtpd4uA,18-21,Male,United States,Arizona,H_0121
2023-05-11 22:33:55,R_2QLeL0mXTqRmIEP,22-26,Male,Samoa,Apia,H_0122
2023-05-19 20:17:29,R_3Pn4ntkjWqcQI1j,18-21,Male,United States,"Laie, HI",H_0123
2023-05-20 19:55:30,R_ut9gYIslAuornrP,18-21,Female,United States,New Mexico,H_0124
2023-05-19 17:56:46,R_RztPSvaujOsrxeN,22-26,Female,Philippines,Camarines Norte,H_0125
2023-05-11 22:57:41,R_5pPXbpUcys0NMSR,27-31,Male,Utah,Orem,H_0126
2023-05-12 12:09:41,R_2OYZK2cpwqKF6xI,22-26,Male,Philippines,Pasig City,H_0127
2023-05-10 17:35:43,R_cILeQSVCPkioanD,22-26,Female,French Polynesia,Tahiti,H_0128
2023-05-12 19:59:51,R_2OIQxCKwqvt3Lwl,22-26,Female,Vietnam,Saigon,H_0129
2023-05-13 03:07:20,R_1dv1Cr0npfaNoc4,22-26,Female,Tonga,Tongatapu,H_0130
2023-05-22 21:30:31,R_3nqklIrHVxpveC3,22-26,Male,Philippines,Puerto Prinsesa Palawan,H_0131
2023-05-12 18:57:50,R_VX7TI1MSQ2CsL6h,22-26,Female,Hong Kong,Hong Kong,H_0132
2023-05-23 03:51:21,R_2y12B0tVhClD7y5,22-26,Female,French Polynesia,"Punaauia, Taravao, and Papeete",H_0133
2023-05-23 12:22:15,R_1JQJj105OPS8jXf,18-21,Male,United States,Utah,H_0134
2023-05-11 02:55:19,R_27fhqLpSheRsDyN,22-26,Female,Mongolia,ulaanbatar,H_0135
2023-05-11 03:18:17,R_2ROZjmkxHwX5yAY,43-49,Female,Japan,Tokyo,H_0136
2023-05-10 12:24:36,R_3iEiGMcVcxMhw3p,22-26,Female,United States,Arizona,H_0137
2023-05-22 03:36:12,R_2zpY8MtMOX3GGrP,22-26,Female,Philippines,"Jaen, Nueva Ecija",H_0138
2023-05-12 23:58:38,R_296oeIf4Ukmjpy9,50-58,Female,United States,CA,H_0139
2023-05-29 15:39:43,R_2SpCUJDoTwdqHpc,32-36,Male,United States,Hawaii,H_0140
2023-05-29 21:45:09,R_3n108tl7zQ89rTH,18-21,Female,United States,Utah,H_0141
2023-05-23 02:10:49,R_32UZVbYpm9X0PpA,18-21,Female,Tonga,Pangai,H_0142
2023-05-24 19:55:14,R_2Y317YY2IW2hUQF,22-26,Male,Indonesia,East Java,H_0143
2023-05-30 10:21:56,R_1Cwg0HaIZdwNtxc,18-21,Female,United States,Utah,H_0144
2023-05-22 22:57:48,R_eEdREIXoWtXCnjH,18-21,Female,United States,"Lewiston, Idaho",H_0145
2023-05-22 17:47:30,R_268Bo0Q4kSJtwpH,22-26,Male,United States,Hawaii,H_0146
2023-05-08 08:32:07,R_WdINS2eXwAWkPId,59-64,Male,Canada,Calgary,H_0147
2023-05-25 03:57:31,R_3j2lnBvfhYM6ZPv,22-26,Male,Philippines,Manila,H_0148
2023-05-17 22:20:32,R_3m1v6uSbOXcBw6E,32-36,Female,United States,Utah,H_0149
